context,context_kind,context_gene,ctx_group,dep_gene,beta,r,se,beta_lb,p,q,n_models,df,same_arm,same_chrom,unknown_locus,band_distance,same_gene_family,ky_all_pos,ky_only_pos,testable_ky,testable_ky_only,powered_ky_only,dep_expr_in_context,dep_expressed,stratum,known_classes,why,is_known,is_novel
MUT_DAM:RB1,MUT_DAM,RB1,MUT_DAM:RB1,CCND1,0.8804152600146555,0.223136397196074,0.123556355200653,0.6382448038213755,2.021017645643993e-12,4.012578489826181e-08,1043,969,False,False,False,,False,20,8,True,True,True,4.985955754607509,True,genetic,PATHWAY,,True,False
MUT_DAM:SEC31A,MUT_DAM,SEC31A,MUT_DAM:SEC31A,WRN,-0.6785157556665715,-0.3248912198502878,0.0634507942286847,0.5541521989783493,2.6370583285310287e-25,4.831785534377103e-20,1043,969,False,False,False,,False,14,6,True,True,True,3.517275693209581,True,genetic,PATHWAY|DEPMAP_TOP|DEPMAP_TOP_ANYMOD|SIGNATURE_PROXY,"{""SIGNATURE_PROXY"": {""signature"": ""SIG:MSI_HIGH"", ""r"": 0.602}}",True,False
DEL:FOCAD,DEL,FOCAD,DEL:FOCAD,PELO,-0.7034134215450668,-0.2893206727699247,0.0843084321572289,0.5381688945168981,3.3776886008425204e-16,1.6922541826165796e-11,833,762,False,False,False,,False,11,4,True,True,False,3.618256832751454,True,genetic,DEPMAP_TOP|DEPMAP_TOP_ANYMOD,,False,True
DEL:HACD4,DEL,HACD4,DEL:IFNB1,PELO,-0.676585838219639,-0.2824448013847579,0.083245128923467,0.5134253855296436,1.76673825296602e-15,7.309648135927326e-11,833,762,False,False,False,,False,13,5,True,True,False,3.570170007360709,True,genetic,DEPMAP_TOP|DEPMAP_TOP_ANYMOD,,False,True
DEL:IFNB1,DEL,IFNB1,DEL:IFNB1,PELO,-0.6538261332283876,-0.2843953116636163,0.0798451059120704,0.4973297256407295,1.1100719732503337e-15,4.7777214623090433e-11,833,762,False,False,False,,False,13,5,True,True,False,3.658782734012828,True,genetic,PATHWAY,,True,False
MUT_DAM:RB1,MUT_DAM,RB1,MUT_DAM:RB1,E2F3,-0.5336858474101647,-0.3299565400768718,0.0490498030179866,0.4375482334949109,4.29296015732355e-26,9.493247806215056e-21,1043,969,False,False,False,,False,20,8,True,True,True,4.456149034647996,True,genetic,PATHWAY|SL_DB|DEPMAP_TOP|DEPMAP_TOP_ANYMOD,,True,False
SIG:MSI_HIGH,SIG,,SIG:MSI_HIGH,WRN,-0.503482176419603,-0.2970735020572897,0.0519870946971252,0.4015874708132376,3.093815818432438e-21,3.3627795806734545e-16,1043,969,False,False,False,,False,31,12,True,True,True,3.463360885816658,True,genetic,SIGNATURE_CONTEXT|SIGNATURE_PROXY,"{""SIGNATURE_PROXY"": {""signature"": ""SIG:MSI_HIGH"", ""r"": 1.0}}",True,False
MUT_HOT:NRAS,MUT_HOT,NRAS,MUT_HOT:NRAS,RAF1,-0.4791100372424865,-0.3187437255890848,0.0457685545665133,0.3894036702921202,2.280431037105215e-24,3.952493612793202e-19,1043,969,False,False,False,,False,11,3,True,True,False,5.823239844131022,True,genetic,PATHWAY|SL_DB|DEPMAP_TOP|DEPMAP_TOP_ANYMOD,,True,False
MUT_DAM:KDM2B,MUT_DAM,KDM2B,MUT_DAM:KDM2B,WRN,-0.5120749236174873,-0.2361652822963736,0.0676851716141467,0.3794119872537597,8.963410276032575e-14,2.4670236461028055e-09,1043,969,False,False,False,,False,11,4,True,True,False,3.1731274334806563,True,genetic,,,False,True
MUT_HOT:BRAF,MUT_HOT,BRAF,MUT_HOT:BRAF,DUSP4,-0.4536761644858712,-0.2916627393224283,0.0477966802358965,0.3599946712235139,1.7067799934419868e-20,1.6584010559248444e-15,1043,969,False,False,False,,False,16,7,True,True,True,6.143913895268171,True,genetic,PATHWAY|DEPMAP_TOP|DEPMAP_TOP_ANYMOD,,True,False
MUT_DAM:APC,MUT_DAM,APC,MUT_DAM:APC,CTNNB1,-0.4681226174771358,-0.2419822295649897,0.060299213392266,0.3499361592282942,2.096681383226211e-14,6.895309830503488e-10,1043,969,False,False,False,,False,30,13,True,True,True,6.879621862478796,True,genetic,COMPLEX|PATHWAY,,True,False
MUT_HOT:BRAF,MUT_HOT,BRAF,MUT_HOT:BRAF,MAPK1,-0.4399409404224489,-0.2776555811697737,0.048899581425,0.3440977608294488,1.1996897271919817e-18,9.738628664156277e-14,1043,969,False,False,False,,False,16,7,True,True,True,5.228810021449588,True,genetic,PATHWAY|SL_DB|DEPMAP_TOP|DEPMAP_TOP_ANYMOD,,True,False
MUT_HOT:BRAF,MUT_HOT,BRAF,MUT_HOT:BRAF,MAP2K1,-0.3990781249942484,-0.3614648540527312,0.0330693439148073,0.3342622109212261,2.43125009335845e-31,1.11367265794289e-25,1043,969,False,False,False,,False,16,7,True,True,True,5.53136513859258,True,genetic,COMPLEX|PATHWAY|SL_DB|DEPMAP_TOP|DEPMAP_TOP_ANYMOD,,True,False
MUT_DAM:SMARCA4,MUT_DAM,SMARCA4,MUT_DAM:SMARCA4,SMARCA2,-0.4003037773286548,-0.3533342352758486,0.0340474467565437,0.333570781685829,6.274108189626705e-30,2.3667862611551332e-24,1043,969,False,False,False,,False,14,1,True,False,False,3.7648558236548326,True,genetic,PARALOG|COMPLEX|PATHWAY|SL_DB|DEPMAP_TOP_ANYMOD,,True,False
MUT_DAM:RB1,MUT_DAM,RB1,MUT_DAM:RB1,SKP2,-0.3962288895547444,-0.1899115145087714,0.0658046395747984,0.2672517959881395,2.453130947886078e-09,1.6387226483936962e-05,1043,969,False,False,False,,False,20,8,True,True,True,5.300123724569014,True,genetic,PATHWAY|SL_DB|DEPMAP_TOP|DEPMAP_TOP_ANYMOD,,True,False
MUT_DAM:MIDEAS,MUT_DAM,MIDEAS,MUT_DAM:MIDEAS,HDAC1,-0.4098125509684039,-0.1653101170635956,0.0785429603792457,0.2558683486250823,2.215858656229492e-07,0.0005596742310131,1043,969,False,False,False,,False,11,4,True,True,False,7.250620794799866,True,genetic,COMPLEX,,True,False
MUT_DAM:ARID1A,MUT_DAM,ARID1A,MUT_DAM:ARID1A,ARID1B,-0.3089314406587174,-0.3344379781032066,0.0279658545743758,0.2541183656929408,8.37113295048038e-27,1.9882749134466864e-21,1043,969,False,False,False,,True,43,12,True,True,True,4.249782645740272,True,genetic,PARALOG|COMPLEX|PATHWAY|SL_DB|DEPMAP_TOP|DEPMAP_TOP_ANYMOD|SIGNATURE_PROXY,"{""SIGNATURE_PROXY"": {""signature"": ""SIG:MSI_HIGH"", ""r"": 0.471}}",True,False
MUT_DAM:CTCF,MUT_DAM,CTCF,MUT_DAM:CTCF,EIF2AK4,-0.4375468247728271,-0.1454688171879376,0.0955978958930844,0.2501749488223816,5.330869020073574e-06,0.0056394667136173,1043,969,False,False,False,,False,13,3,True,True,False,4.97223312380739,True,genetic,SIGNATURE_PROXY,"{""SIGNATURE_PROXY"": {""signature"": ""SIG:MSI_HIGH"", ""r"": 0.525}}",True,False
MUT_DAM:ATXN2L,MUT_DAM,ATXN2L,MUT_DAM:ATXN2L,HDAC1,-0.3709373009476725,-0.1730436388252043,0.0678236816182382,0.2380028849759255,5.75567278125967e-08,0.0001999495157299,1043,969,False,False,False,,False,12,3,True,True,False,7.278852649640108,True,genetic,SIGNATURE_PROXY,"{""SIGNATURE_PROXY"": {""signature"": ""SIG:MSI_HIGH"", ""r"": 0.475}}",True,False
MUT_DAM:EP300,MUT_DAM,EP300,MUT_DAM:EP300,CREBBP,-0.3594877314901231,-0.1824027299881271,0.0622505623602602,0.2374766292640131,1.0367955771168077e-08,5.2685334120404685e-05,1043,969,False,False,False,,True,34,16,True,True,True,4.004935018267085,True,genetic,PARALOG|COMPLEX|PATHWAY|SL_DB|DEPMAP_TOP|DEPMAP_TOP_ANYMOD,,True,False
MUT_DAM:MYH9,MUT_DAM,MYH9,MUT_DAM:MYH9,UQCC2,-0.3425413858163808,-0.1848767163635661,0.0584947884974321,0.2278916003614138,6.490676592048782e-09,3.597597468628752e-05,1043,969,False,False,False,,False,11,4,True,True,False,7.017142464047749,True,genetic,,,False,True
DEL:LILRA6,DEL,LILRA6,DEL:LILRA6,EIF1AX,-0.3464932952594058,-0.2014959809019255,0.0610169754140434,0.2269000234478806,1.9311188932017993e-08,8.558476043420504e-05,833,762,False,False,False,,False,59,8,True,True,True,5.927744436766321,True,genetic,,,False,True
MUT_DAM:SMARCA4,MUT_DAM,SMARCA4,MUT_DAM:SMARCA4,RAB6A,0.3541923273401816,0.1710423090782691,0.0655429803129086,0.2257280859268807,8.206590199438096e-08,0.0002627469936842,1043,969,False,False,False,,False,14,1,True,False,False,5.868690985689918,True,genetic,,,False,True
MUT_DAM:ESRP1,MUT_DAM,ESRP1,MUT_DAM:ESRP1,SATB2,-0.3295211345898346,-0.1770889548224129,0.0588316459629237,0.214211108502504,2.7745281436234043e-08,0.0001132580049131,1043,969,False,False,False,,False,11,3,True,True,False,2.5459683691052923,True,genetic,SIGNATURE_PROXY,"{""SIGNATURE_PROXY"": {""signature"": ""SIG:MSI_HIGH"", ""r"": 0.488}}",True,False
MUT_DAM:SEC31A,MUT_DAM,SEC31A,MUT_DAM:SEC31A,MRPL53,-0.3782621289580768,-0.1401149712183877,0.0858698986285694,0.2099571276460807,1.1753283673061763e-05,0.0094868334095932,1043,969,False,False,False,,False,14,6,True,True,True,6.700300990794393,True,genetic,SIGNATURE_PROXY,"{""SIGNATURE_PROXY"": {""signature"": ""SIG:MSI_HIGH"", ""r"": 0.602}}",True,False
DEL:LRP1B,DEL,LRP1B,DEL:LRP1B,TAPT1,-0.3134679500412644,-0.203267093983996,0.0546998300598922,0.2062562831238755,1.4405722030281626e-08,6.812888770934933e-05,833,762,False,False,False,,False,12,3,True,True,False,3.058316495590823,True,genetic,,,False,True
MUT_DAM:ASXL1,MUT_DAM,ASXL1,MUT_DAM:ASXL1,RCOR1,0.3370792900151301,0.1581661183863312,0.0676013476418479,0.2045806486371081,7.290640698590436e-07,0.0013662860938073,1043,969,False,False,False,,False,15,5,True,True,False,3.856985689782205,True,genetic,,,False,True
EXPR_LOW:ATP6V0E2,EXPR_LOW,ATP6V0E2,EXPR_LOW:ATP6V0E2,ATP6V0E1,-0.7986945834768898,-0.4556531936149713,0.0504379178743118,0.6998362644432385,2.458956202338386e-50,1.971136790876536e-44,1031,957,False,False,False,,False,11,0,True,False,False,6.976019877729256,True,expression,PARALOG|PATHWAY|DEPMAP_TOP|DEPMAP_TOP_ANYMOD,,True,False
EXPR_LOW:RPP25,EXPR_LOW,RPP25,EXPR_LOW:RPP25,RPP25L,-0.7236337250426457,-0.698060038433414,0.0239942329976518,0.676605028367248,5.514904190058928e-141,1.7683325204160538e-134,1031,957,False,False,False,,False,38,7,True,True,True,4.580113209005509,True,expression,PARALOG|DEPMAP_TOP|DEPMAP_TOP_ANYMOD,,True,False
EXPR_LOW:TTC7B,EXPR_LOW,TTC7B,EXPR_LOW:TTC7B,TTC7A,-0.6743648598092492,-0.5391127516214027,0.0340558655750411,0.6076153632821686,2.0775754430743968e-73,2.2205548775919243e-67,1031,957,False,False,False,,True,24,7,True,True,True,3.8589670488001824,True,expression,PARALOG|DEPMAP_TOP|DEPMAP_TOP_ANYMOD,,True,False
EXPR_LOW:CYB5A,EXPR_LOW,CYB5A,EXPR_LOW:CYB5A,CYB5B,-0.5891632666523093,-0.3081080746604006,0.0588054471736029,0.4739045901920475,1.5514431766930453e-22,2.0727675165759825e-17,1031,957,False,False,False,,False,16,4,True,True,False,6.492554652918695,True,expression,PARALOG|PATHWAY|DEPMAP_TOP|DEPMAP_TOP_ANYMOD,,True,False
EXPR_LOW:DNAJC15,EXPR_LOW,DNAJC15,EXPR_LOW:DNAJC15,DNAJC19,-0.4776670004343184,-0.5962690013042982,0.0207886422864816,0.4369212615528144,2.1698943620996277e-93,3.478840823096167e-87,1031,957,False,False,False,,False,38,7,True,True,True,5.675251386050259,True,expression,PARALOG|DEPMAP_TOP|DEPMAP_TOP_ANYMOD,,True,False
EXPR_LOW:UAP1L1,EXPR_LOW,UAP1L1,EXPR_LOW:UAP1L1,UAP1,-0.4973212169056681,-0.3773216607233824,0.0394565264486901,0.4199864250662355,8.233964168424428e-34,4.400314163575059e-28,1031,957,False,False,False,,False,11,2,True,False,False,5.272768525842359,True,expression,PARALOG|SL_DB|DEPMAP_TOP|DEPMAP_TOP_ANYMOD,,True,False
EXPR_LOW:EMC10,EXPR_LOW,EMC10,EXPR_LOW:EMC10,EMC4,-0.5099701445982696,-0.3307968872262765,0.0470286197791407,0.4177940498311538,6.385041686168075e-26,1.364892476671478e-20,1031,957,False,False,False,,True,10,0,True,False,False,6.782574673042194,True,expression,PARALOG|COMPLEX|PATHWAY|DEPMAP_TOP|DEPMAP_TOP_ANYMOD,,True,False
EXPR_LOW:TBL1X,EXPR_LOW,TBL1X,EXPR_LOW:TBL1X,TBL1XR1,-0.5266440705219338,-0.2715789483615042,0.0603292653279221,0.4083987104792064,1.1227058195651753e-17,7.272550353351053e-13,1031,957,False,False,False,,True,14,3,True,True,False,5.126598737973473,True,expression,PARALOG|COMPLEX|PATHWAY|DEPMAP_TOP|DEPMAP_TOP_ANYMOD,,True,False
EXPR_LOW:LDAH,EXPR_LOW,LDAH,EXPR_LOW:LDAH,HSD17B12,-0.5195181065816867,-0.2458741118774247,0.066205020000875,0.3897562673799716,1.1354088095015953e-14,4.0007077656299937e-10,1031,957,False,False,False,,False,15,4,True,True,False,5.632849830117706,True,expression,DEPMAP_TOP|DEPMAP_TOP_ANYMOD,,False,True
EXPR_LOW:CDK6,EXPR_LOW,CDK6,EXPR_LOW:CDK6,CDK4,-0.5494526931728866,-0.2114203408900946,0.0821103276052171,0.388516451066661,3.7517065933190983e-11,4.74544413211856e-07,1031,957,False,False,False,,False,17,4,True,True,False,7.848996149296388,True,expression,PARALOG|COMPLEX|PATHWAY|SL_DB|DEPMAP_TOP|DEPMAP_TOP_ANYMOD,,True,False
EXPR_LOW:FNBP1,EXPR_LOW,FNBP1,EXPR_LOW:FNBP1,RAB10,-0.4827528647933341,-0.2105482770219649,0.0724554477194419,0.3407401872632279,4.528780067469378e-11,5.606701414640127e-07,1031,957,False,False,False,,False,15,2,True,False,False,6.191322549747322,True,expression,PATHWAY,,True,False
EXPR_LOW:KLHL5,EXPR_LOW,KLHL5,EXPR_LOW:KLHL5,IRS2,-0.4673468732091642,-0.19751475764463,0.0749795425773194,0.3203869697576181,6.851448949181092e-10,5.597172955169466e-06,1031,957,False,False,False,,False,11,2,True,False,False,2.237120667213346,True,expression,,,False,True
EXPR_LOW:LIX1L,EXPR_LOW,LIX1L,EXPR_LOW:LIX1L,STX4,-0.3750138870686031,-0.313974233571262,0.0366573453267993,0.3031654902280763,2.203594398089994e-23,3.211699771497291e-18,1031,957,False,False,False,,False,63,15,True,True,True,5.0522419811811385,True,expression,,,False,True
EXPR_LOW:SMARCA2,EXPR_LOW,SMARCA2,EXPR_LOW:SMARCA2,ZNF217,-0.4380740467601001,-0.2005874243617479,0.0691624289097056,0.302515686097077,3.670329356175185e-10,3.2932427713498406e-06,1031,957,False,False,False,,False,10,2,True,False,False,5.494415610397496,True,expression,,,False,True
