context,drug,beta,r,se,beta_lb,p,n_models,df,q
EXPR_LOW:TEF,5-Fluorouracil,-1.6147491642881795,-0.2010956612650445,0.3094726671326907,1.0081827367081058,2.4432598189809034e-07,711,646,0.0015075655339259
EXPR_LOW:CCDC148,5-Fluorouracil,-0.7694469316528734,-0.1983143653578243,0.1496220746301303,0.4761876653778178,3.596855576060067e-07,711,646,0.0018517995699565
EXPR_LOW:STK32A,5-Fluorouracil,-0.7335289903514267,-0.183325119032736,0.1547589194300895,0.4302015082684513,2.6329603384537657e-06,711,646,0.0057489229510443
EXPR_LOW:ZNF467,5-Fluorouracil,-0.682623418110694,-0.1984619368023108,0.1326361468429289,0.4226565702985534,3.52428784693227e-07,711,646,0.0018517266276075
EXPR_LOW:ZNF70,5-Fluorouracil,-0.6147437684150773,-0.1751125224627175,0.1359871132261538,0.3482090264918157,7.335280254312671e-06,711,646,0.0098433907806902
EXPR_LOW:ZNF610,5-Fluorouracil,-0.61243038210759,-0.1775040825868202,0.1335919251904919,0.3505902087342259,5.469070399243782e-06,711,646,0.0085642834008192
EXPR_LOW:EVA1A,5-azacytidine,-0.7255114241738537,-0.2317673061244309,0.1343139904625882,0.4622560028671808,1.011512820729628e-07,574,514,0.0008321788531914
EXPR_LOW:SOWAHB,5-azacytidine,-0.6587107349577918,-0.2027839957404354,0.1403011820588904,0.3837204181223666,3.425129360934763e-06,574,514,0.0066385407853085
EXPR_LOW:EDN1,5-azacytidine,-0.6473569948231327,-0.1987861658658535,0.1407735974932711,0.3714407437363213,5.362308258822591e-06,574,514,0.0084797359610579
EXPR_LOW:CRACDL,5-azacytidine,-0.6395406302746336,-0.2027346376509593,0.1362526580316859,0.3724854205325291,3.4443259429886218e-06,574,514,0.006668024706386
EXPR_LOW:CDH3,5-azacytidine,-0.6386192155393281,-0.1992811614189406,0.1385143300690405,0.3671311286040087,5.075267957598371e-06,574,514,0.0082370044239819
EXPR_LOW:TTYH1,5-azacytidine,-0.6288492164533396,-0.2193379905998087,0.1233799753942899,0.3870244646805312,4.86104504739745e-07,574,514,0.0021991051995675
EXPR_LOW:BMPR1A,ABT737,-1.830600609047835,-0.2019363671442158,0.3515023416002259,1.1416560195113925,2.579839824380947e-07,703,638,0.001557341475856
EXPR_LOW:BCL3,ABT737,-1.3691115591181835,-0.178031258138153,0.2995975759001438,0.7819003103539016,5.861704704216406e-06,703,638,0.0088736379033823
EXPR_LOW:YAP1,ABT737,-1.2221293687162054,-0.1785158950183418,0.2666841803108151,0.6994283753070079,5.5234917129974755e-06,703,638,0.008602070701174
EXPR_LOW:SEMA3C,ABT737,-1.1934074368370635,-0.2061483388773,0.2242686667953991,0.7538408499180812,1.4280054270185985e-07,703,638,0.0010389357573461
EXPR_LOW:GRAMD2A,AZD2014,-0.7463578113658609,-0.1998641583282782,0.164625304670555,0.423692214211573,7.28153901263197e-06,554,494,0.0098163167198499
EXPR_LOW:SGK1,AZD4547,-0.939640390235798,-0.1791713016838121,0.203788151252332,0.5402156137812272,4.841764899378432e-06,706,641,0.0080345112076991
EXPR_LOW:CDCP1,AZD4547,-0.8431970247120547,-0.1928942333161197,0.1694131045162178,0.5111473398602678,8.30148222805959e-07,706,641,0.0030198438194004
EXPR_LOW:ICAM1,AZD4547,-0.6441279082458086,-0.1758265696421583,0.1424424838181609,0.3649406399622131,7.297490911157123e-06,706,641,0.0098233426601473
EXPR_LOW:HRCT1,AZD4547,-0.5905438616268907,-0.1806484713466439,0.1269943187498745,0.3416349968771366,4.02961258479824e-06,706,641,0.0072397480029087
MUT_DAM:PTEN,AZD5363,-0.9719082483448552,-0.2086590510798065,0.1536481467676611,0.6707578806802397,4.0133013845139465e-10,947,879,2.301529191866896e-05
EXPR_LOW:CHMP4C,AZD5363,-0.7919443087620978,-0.1818774032562465,0.169379511815665,0.4599604656033944,3.5782135237606355e-06,704,639,0.0067802312731242
EXPR_LOW:STK32A,AZD5363,-0.6469923583720486,-0.1810445904847729,0.139035737426047,0.3744823130169964,3.970728092564749e-06,704,639,0.007175337503737
EXPR_LOW:CCDC148,AZD5363,-0.6312273714539216,-0.1822264298522475,0.1347382474565991,0.3671404064389874,3.424999392171338e-06,704,639,0.0066385407853085
EXPR_LOW:KLRC2,AZD5363,-0.6152343712434686,-0.1809692516837797,0.1322679945711949,0.3559891018839264,4.0081992809724285e-06,704,639,0.0072096412262255
EXPR_LOW:ICAM2,AZD5363,-0.5832198280752351,-0.1810001604052595,0.1253631160073656,0.3375081207007985,3.992785518265494e-06,704,639,0.0071991606945917
EXPR_LOW:CREBRF,AZD5438,-1.056506811478199,-0.2130405966970691,0.2180019053668819,0.6292230769591104,1.686707349999023e-06,554,494,0.0045237537528826
EXPR_LOW:GPR39,AZD5438,-0.8552257161616299,-0.2059529133004699,0.1828258668004251,0.4968870172327966,3.747997970455385e-06,554,494,0.0069400820615018
EXPR_LOW:TFF3,AZD7762,-0.640828194320059,-0.1782552393046227,0.1397199605632617,0.3669770716160659,5.4216300213946626e-06,706,641,0.0085220066144012
EXPR_LOW:RORA,AZD7762,-0.5703813813779255,-0.2022230203046922,0.109103580529824,0.3565383635394702,2.3234251747852843e-07,706,641,0.0014427552804455
EXPR_LOW:LMNTD2,AZD7762,-0.5494790219311078,-0.1853250597960751,0.1150797380534386,0.323922735346368,2.231190886820123e-06,706,641,0.0053134151849735
EXPR_LOW:PLEKHG6,AZD8055,-0.7182844335979824,-0.199527630346415,0.1548417360536089,0.4147946309329088,4.441116032954601e-06,579,519,0.0076315458097196
EXPR_LOW:SPINT1,AZD8055,-0.7161948139305385,-0.2043808576802478,0.1505711646226519,0.4210753312701407,2.5559587534499807e-06,579,519,0.0056696806289156
EXPR_LOW:GRAMD2A,AZD8055,-0.68071515066082,-0.1981369389138727,0.1478153790539658,0.3909970077150468,5.190128747519274e-06,579,519,0.0083427832431764
EXPR_LOW:TMPRSS3,AZD8055,-0.621789130293281,-0.2045477320104857,0.1306122309749081,0.365789157582461,2.5072656739645744e-06,579,519,0.0056112339092214
EXPR_LOW:TUBA8,AZD8055,-0.6106142927322258,-0.2079320542363232,0.1260852589491878,0.3634871851918176,1.6915943029750077e-06,579,519,0.0045290399967613
EXPR_LOW:SLC16A1,Afatinib,-2.943498206926251,-0.2729722930147142,0.4084607279084979,2.1429151802255952,1.611382893407626e-12,710,645,1.8481765574661666e-07
EXPR_LOW:DOK1,Afatinib,-1.3543164855092429,-0.1786819770711789,0.2936388783320483,0.7787842839784279,4.806691895595153e-06,710,645,0.0079967276152745
EXPR_LOW:LIX1L,Afatinib,-0.8957246556442567,-0.2086250009771663,0.1653351788404685,0.5716677051169383,8.536620420224265e-08,710,645,0.0007464053399677
EXPR_LOW:DYRK3,Afatinib,-0.6698777483995108,-0.1835429271010368,0.1412657001039045,0.3929969761958578,2.6068815761525088e-06,710,645,0.0057229704316204
EXPR_LOW:MAF,Afatinib,-0.6595782800068671,-0.1830542319090065,0.1394779820471794,0.3862014351943955,2.7743128794263173e-06,710,645,0.0059378700782782
EXPR_LOW:ZEB1,Afatinib,-0.625705553477735,-0.1806059315250034,0.1341704978112467,0.3627313777676914,3.7802175265369817e-06,710,645,0.0069760847755689
MUT_HOT:PTEN,Afuresertib,-1.1808228856949496,-0.1615928801108095,0.2433715072255406,0.70381473153289,1.4463613918191675e-06,946,878,0.0041594964359163
MUT_DAM:PTEN,Afuresertib,-1.1381580748317703,-0.2377819021228983,0.1569055196371618,0.8306232563429332,8.903862905779172e-13,946,878,1.188180230754809e-07
EXPR_LOW:EPB41L1,Alisertib,-1.6648362680479425,-0.1874875348462975,0.3469525919408038,0.9848091878439672,1.997108076245519e-06,697,632,0.0050400088523864
EXPR_LOW:CAPN8,Alisertib,-0.9531910755460968,-0.1781948605068781,0.2093723091470108,0.5428213496179557,6.356971481508638e-06,697,632,0.0092040628667609
EXPR_LOW:C14orf28,Alisertib,-0.779374163431343,-0.1993933583813725,0.1523586764859511,0.4807511575188788,4.157501620731142e-07,697,632,0.002016508253763
MUT_HOT:PIK3CA,Alpelisib,-1.3015756618263463,-0.278962070986082,0.1505273054738046,1.0065421430976895,2.4565742462604092e-17,954,886,5.9873347131831066e-12
EXPR_LOW:GSDMD,Axitinib,-0.99890327011622,-0.2068281326835484,0.1867799267152056,0.6328146137544168,1.2391923903177152e-07,705,640,0.0009645861454767
EXPR_LOW:IKBKE,Axitinib,-0.9788019846359702,-0.191481976069672,0.1983195576296349,0.5900956516818858,1.0209485847602543e-06,705,640,0.0034214604863678
EXPR_LOW:GPRC5A,Axitinib,-0.9455102950844,-0.2092722109578654,0.1746386034159347,0.6032186323891678,8.722164170910608e-08,705,640,0.0007558495668919
EXPR_LOW:TRIM38,Axitinib,-0.8956709608287582,-0.2105980706924405,0.1643437524983168,0.5735572059320572,7.196419966003543e-08,705,640,0.0006778596518083
EXPR_LOW:GPR39,Axitinib,-0.8649561942190478,-0.2156372080751755,0.1548249362954152,0.5614993190800339,3.4257562023174955e-08,705,640,0.0004737300890338
EXPR_LOW:ARHGAP29,Axitinib,-0.8536671198366192,-0.2009973211896707,0.1644574056864142,0.5313306046912474,2.815629389737678e-07,705,640,0.0016150995290443
EXPR_LOW:SP100,BI-2536,-1.782061438693353,-0.1921715001488032,0.368466261542331,1.0598675660703845,1.675744949204343e-06,675,610,0.0045005431320631
EXPR_LOW:GSDMD,BI-2536,-1.5961551407296497,-0.2127033396613498,0.2968809739093927,1.01426843186724,1.0834696968752557e-07,675,610,0.0008670545762524
EXPR_LOW:MYOF,BI-2536,-1.4948062663376396,-0.1909342984071091,0.3111514572923781,0.8849494100445784,1.958749813319487e-06,675,610,0.004998955138753
EXPR_LOW:EPAS1,BI-2536,-1.329869758773364,-0.1878787626888936,0.2814900149807116,0.7781493294111693,2.8673367981494436e-06,675,610,0.0059689104735356
EXPR_LOW:C11orf52,BI-2536,-1.2321245699725698,-0.2087614277115776,0.2337025569016268,0.7740675584453813,1.8737886698276634e-07,675,610,0.0012427017445743
EXPR_LOW:PRSS22,BI-2536,-1.2219601890317615,-0.2021918145351645,0.2396429719802791,0.7522599639504146,4.561149668751575e-07,675,610,0.0021134380548828
EXPR_LOW:PLAAT4,Bromosporine,-0.603837333464157,-0.225774981854512,0.1175824149291916,0.3733758002029415,4.065864986932431e-07,551,491,0.0019819221513401
EXPR_LOW:PLAAT2,Bromosporine,-0.5596850786790011,-0.200867263849862,0.1231830016925685,0.3182463953615667,6.971892339006502e-06,551,491,0.0096126381068187
EXPR_LOW:STK32A,Buparlisib,-0.5445631511730863,-0.230915067159371,0.0907709217539593,0.366652144535326,3.318466852503646e-09,704,639,9.803636006789772e-05
EXPR_LOW:CCDC148,Buparlisib,-0.4734457466477945,-0.2071158723914193,0.0884679064419786,0.3000486500215163,1.216518301944253e-07,704,639,0.0009603185625197
EXPR_LOW:SYT13,Buparlisib,-0.4206370248731751,-0.1793892190118232,0.0912552616699134,0.2417767120001448,4.8765450788919e-06,704,639,0.0080561473249843
EXPR_LOW:CRYAB,Camptothecin,-0.77557612084781,-0.2027084120023026,0.1474093950760532,0.4866537064987457,1.9475543390924266e-07,711,646,0.0012700242846929
EXPR_LOW:PRODH,Camptothecin,-0.6768627818593302,-0.1867319185544985,0.1401067282998995,0.4022535943915272,1.697969571299312e-06,711,646,0.0045290399967613
EXPR_LOW:TMEM191C,Camptothecin,-0.5944767312670365,-0.1834491563730367,0.1253341155148856,0.3488218648578605,2.5916070351931092e-06,711,646,0.0057053122896527
EXPR_LOW:AIFM2,Cediranib,-0.8283278211274008,-0.1897950944155512,0.1695119645982581,0.4960843705148148,1.2989942511937147e-06,704,639,0.0039574996482586
EXPR_LOW:STING1,Cediranib,-0.6520160653625267,-0.1821379897226359,0.1392455848588342,0.3790947190392116,3.463217734427786e-06,704,639,0.0066725665514536
EXPR_LOW:PARD3B,Crizotinib,-0.4774965367677927,-0.1755615708614407,0.1054296377849126,0.270854446709364,7.058516974645636e-06,710,645,0.0096648941948284
EXPR_LOW:LAMB3,Cytarabine,-0.9942513920056988,-0.1986990466776336,0.2156790998884356,0.571520356224365,5.083284732757021e-06,577,517,0.0082389608516087
EXPR_LOW:CPEB2,Cytarabine,-0.9866910877587928,-0.2074514447005802,0.2046290308453823,0.5856181873018433,1.873363390406713e-06,577,517,0.0048702852165723
EXPR_LOW:CRYAB,Cytarabine,-0.8643500582133877,-0.2029058910888014,0.1834511182011718,0.5047858665390909,3.163176053193571e-06,577,517,0.0063322497734431
EXPR_LOW:IFITM10,Cytarabine,-0.8617138913325032,-0.199106937455108,0.1865295548807792,0.4961159637661758,4.856893922477145e-06,577,517,0.0080459213936692
