context,context_gene,dep_gene,pair,ky_pos,ky_evaluable
DEL:ELAVL2,ELAVL2,ELAVL1,ELAVL1|ELAVL2,19,True
EXPR_LOW:COPZ2,COPZ2,COPZ1,COPZ1|COPZ2,69,True
EXPR_LOW:TEAD3,TEAD3,TEAD1,TEAD1|TEAD3,7,True
EXPR_LOW:RGPD5,RGPD5,RANBP2,RANBP2|RGPD5,9,True
EXPR_LOW:SAMD4A,SAMD4A,SAMD4B,SAMD4A|SAMD4B,34,True
EXPR_LOW:BIRC3,BIRC3,BIRC2,BIRC2|BIRC3,44,True
EXPR_LOW:VRK2,VRK2,VRK1,VRK1|VRK2,19,True
EXPR_LOW:CTPS2,CTPS2,CTPS1,CTPS1|CTPS2,10,True
EXPR_LOW:CDK14,CDK14,CDK2,CDK14|CDK2,66,True
EXPR_LOW:CDK14,CDK14,CDK6,CDK14|CDK6,66,True
EXPR_LOW:CDK14,CDK14,CDK1,CDK1|CDK14,66,True
EXPR_LOW:ATP2B4,ATP2B4,ATP2B1,ATP2B1|ATP2B4,7,True
EXPR_LOW:ERBB3,ERBB3,EGFR,EGFR|ERBB3,57,True
EXPR_LOW:RAB27A,RAB27A,RAB10,RAB10|RAB27A,1,False
EXPR_LOW:FERMT2,FERMT2,FERMT1,FERMT1|FERMT2,37,True
EXPR_LOW:TEAD2,TEAD2,TEAD1,TEAD1|TEAD2,27,True
EXPR_LOW:FOSL2,FOSL2,FOSL1,FOSL1|FOSL2,2,False
EXPR_LOW:STXBP2,STXBP2,STXBP3,STXBP2|STXBP3,20,True
EXPR_LOW:SMARCA2,SMARCA2,SMARCA4,SMARCA2|SMARCA4,10,True
EXPR_LOW:ZNF506,ZNF506,ZNF492,ZNF492|ZNF506,55,True
EXPR_LOW:ITGB5,ITGB5,ITGB1,ITGB1|ITGB5,4,False
EXPR_LOW:MACROH2A2,MACROH2A2,H2AC17,H2AC17|MACROH2A2,71,True
EXPR_LOW:MACROH2A2,MACROH2A2,H2AC20,H2AC20|MACROH2A2,71,True
EXPR_LOW:FERMT1,FERMT1,FERMT2,FERMT1|FERMT2,40,True
