set,context,dep_gene,tested,replicated,result
primary,MUT_DAM:RB1,CCND1,False,False,"{""n_pos"": 2, ""n_neg"": 119}"
primary,MUT_DAM:SEC31A,WRN,True,False,"{""n_pos"": 3, ""n_neg"": 116, ""median_pos"": 0.010933186085035893, ""median_neg"": 0.6483615363953801, ""p"": 0.06337398062223584, ""u"": 82.0, ""p3"": {""disjoint"": {""n_pos"": 3, ""n_neg"": 24, ""median_pos"": 0.010933186085035893, ""median_neg"": 0.5923763622252094, ""p"": 0.09367521367521367}}}"
primary,DEL:FOCAD,PELO,True,False,"{""n_pos"": 8, ""n_neg"": 89, ""median_pos"": 0.4913929248262792, ""median_neg"": 0.036987596640525054, ""p"": 0.904372204379991, ""u"": 456.0, ""p3"": {""same_line"": {""n_pos"": 8, ""n_neg"": 63, ""median_pos"": 0.4913929248262792, ""median_neg"": 0.03265433499773037, ""p"": 0.9105495594090945}}}"
primary,DEL:HACD4,PELO,True,False,"{""n_pos"": 9, ""n_neg"": 88, ""median_pos"": 0.49136660349547273, ""median_neg"": 0.037564186399880004, ""p"": 0.7665082732765736, ""u"": 454.0, ""p3"": {""same_line"": {""n_pos"": 9, ""n_neg"": 62, ""median_pos"": 0.49136660349547273, ""median_neg"": 0.032668520199727644, ""p"": 0.7739113152613115}}}"
primary,DEL:IFNB1,PELO,True,False,"{""n_pos"": 9, ""n_neg"": 88, ""median_pos"": 0.49136660349547273, ""median_neg"": 0.037564186399880004, ""p"": 0.7665082732765736, ""u"": 454.0, ""p3"": {""same_line"": {""n_pos"": 9, ""n_neg"": 62, ""median_pos"": 0.49136660349547273, ""median_neg"": 0.032668520199727644, ""p"": 0.7739113152613115}}}"
primary,MUT_DAM:RB1,E2F3,False,False,"{""n_pos"": 2, ""n_neg"": 119}"
primary,SIG:MSI_HIGH,WRN,True,True,"{""n_pos"": 12, ""n_neg"": 107, ""median_pos"": 0.4913929248262792, ""median_neg"": 0.6618815251929188, ""p"": 0.008090042624357687, ""u"": 369.0, ""p3"": {""same_line"": {""n_pos"": 9, ""n_neg"": 83, ""median_pos"": 0.4914192461570857, ""median_neg"": 0.6732013163867453, ""p"": 0.022170503951815045}, ""disjoint"": {""n_pos"": 3, ""n_neg"": 24, ""median_pos"": 0.010933186085035893, ""median_neg"": 0.5923763622252094, ""p"": 0.09367521367521367}}}"
primary,MUT_HOT:NRAS,RAF1,True,True,"{""n_pos"": 10, ""n_neg"": 111, ""median_pos"": 0.06847210413607298, ""median_neg"": 0.49136660349547273, ""p"": 0.0014005002045430815, ""u"": 237.0, ""p3"": {""same_line"": {""n_pos"": 7, ""n_neg"": 86, ""median_pos"": 0.04162036008001778, ""median_neg"": 0.4913929248262792, ""p"": 0.00033908697744594216}, ""disjoint"": {""n_pos"": 3, ""n_neg"": 25, ""median_pos"": 0.1358649789029536, ""median_neg"": 0.32325238311393556, ""p"": 0.362942612942613}}}"
primary,MUT_DAM:KDM2B,WRN,False,False,"{""n_pos"": 2, ""n_neg"": 117}"
primary,MUT_HOT:BRAF,DUSP4,True,False,"{""n_pos"": 7, ""n_neg"": 114, ""median_pos"": 0.22162959600544713, ""median_neg"": 0.5449353398979437, ""p"": 0.20811761240077628, ""u"": 324.0, ""p3"": {""same_line"": {""n_pos"": 6, ""n_neg"": 87, ""median_pos"": 0.4082142200965222, ""median_neg"": 0.5444548561349355, ""p"": 0.400663330135256}}}"
primary,MUT_DAM:APC,CTNNB1,True,True,"{""n_pos"": 7, ""n_neg"": 114, ""median_pos"": 0.2236122425229838, ""median_neg"": 0.5958376707213371, ""p"": 0.005011104903529306, ""u"": 173.0, ""p3"": {""same_line"": {""n_pos"": 6, ""n_neg"": 87, ""median_pos"": 0.22245069684024815, ""median_neg"": 0.6561643835616439, ""p"": 0.00911080373157055}}}"
primary,MUT_HOT:BRAF,MAPK1,True,True,"{""n_pos"": 7, ""n_neg"": 114, ""median_pos"": 0.07106786200635497, ""median_neg"": 0.22449500680889695, ""p"": 0.0010291183158977484, ""u"": 135.0, ""p3"": {""same_line"": {""n_pos"": 6, ""n_neg"": 87, ""median_pos"": 0.08346572855197458, ""median_neg"": 0.21583165240146104, ""p"": 0.003355994956606395}}}"
primary,MUT_HOT:BRAF,MAP2K1,True,True,"{""n_pos"": 7, ""n_neg"": 114, ""median_pos"": 0.14639128461189288, ""median_neg"": 0.4835417903389024, ""p"": 0.01007083473124766, ""u"": 193.0, ""p3"": {""same_line"": {""n_pos"": 6, ""n_neg"": 87, ""median_pos"": 0.1443344303222878, ""median_neg"": 0.49136660349547273, ""p"": 0.020353786707380483}}}"
primary,MUT_DAM:SMARCA4,SMARCA2,True,False,"{""n_pos"": 5, ""n_neg"": 116, ""median_pos"": 0.5882508740332663, ""median_neg"": 0.593895865747944, ""p"": 0.4472801788581722, ""u"": 279.0, ""p3"": {""same_line"": {""n_pos"": 3, ""n_neg"": 90, ""median_pos"": 0.5882508740332663, ""median_neg"": 0.594299155210022, ""p"": 0.34418106437741774}}}"
primary,MUT_DAM:RB1,SKP2,False,False,"{""n_pos"": 2, ""n_neg"": 119}"
primary,MUT_DAM:MIDEAS,HDAC1,False,False,"{""n_pos"": 0, ""n_neg"": 121}"
primary,MUT_DAM:ARID1A,ARID1B,True,False,"{""n_pos"": 10, ""n_neg"": 111, ""median_pos"": 0.4442078281610641, ""median_neg"": 0.5939375416759279, ""p"": 0.053219462012217146, ""u"": 383.0, ""p3"": {""same_line"": {""n_pos"": 9, ""n_neg"": 84, ""median_pos"": 0.33891284611892875, ""median_neg"": 0.5947016003556346, ""p"": 0.04496126016995743}}}"
primary,MUT_DAM:CTCF,EIF2AK4,False,False,"{""n_pos"": 0, ""n_neg"": 121}"
