set,context,dep_gene,tested,replicated,result
primary,MUT_DAM:RB1,CCND1,True,True,"{""res"": {""beta"": 0.3389987823261181, ""r"": 0.18407931041030967, ""p_two_sided"": 5.369201923734133e-06, ""se"": 0.07383636240644917, ""df"": 601, ""n"": 656, ""n_pos"": 36, ""n_neg"": 620, ""dep_sd"": 0.4357654737400232}, ""rep"": {""same_sign"": true, ""p_one_sided"": 2.6846009618670666e-06, ""d_discovery_shrunken"": 0.6597981988717214, ""d_holdout"": 0.777938599441139, ""magnitude_ok"": true, ""replicated"": true}}"
primary,MUT_DAM:SEC31A,WRN,True,True,"{""res"": {""beta"": -0.5274915400481583, ""r"": -0.271426793037501, ""p_two_sided"": 1.3083440786833462e-11, ""se"": 0.07642433172049436, ""df"": 599, ""n"": 654, ""n_pos"": 22, ""n_neg"": 632, ""dep_sd"": 0.33045206014256717}, ""rep"": {""same_sign"": true, ""p_one_sided"": 6.541720393416731e-12, ""d_discovery_shrunken"": 1.913554088194191, ""d_holdout"": 1.5962725117240373, ""magnitude_ok"": true, ""replicated"": true}}"
primary,DEL:FOCAD,PELO,True,False,"{""res"": {""beta"": 0.09635788404407464, ""r"": 0.09471550521815338, ""p_two_sided"": 0.20984169548375292, ""se"": 0.07655795529529269, ""df"": 175, ""n"": 211, ""n_pos"": 5, ""n_neg"": 206, ""dep_sd"": 0.12496766742879972}, ""rep"": {""same_sign"": false, ""p_one_sided"": 0.8950791522581235, ""d_discovery_shrunken"": 1.0865819297770272, ""d_holdout"": 0.7710625158221386, ""magnitude_ok"": true, ""replicated"": false}}"
primary,DEL:HACD4,PELO,True,False,"{""res"": {""beta"": 0.08784638680277512, ""r"": 0.10886003486629725, ""p_two_sided"": 0.14921294503715232, ""se"": 0.06063840033373788, ""df"": 175, ""n"": 211, ""n_pos"": 7, ""n_neg"": 204, ""dep_sd"": 0.12496766742879972}, ""rep"": {""same_sign"": false, ""p_one_sided"": 0.9253935274814238, ""d_discovery_shrunken"": 1.0366239147026683, ""d_holdout"": 0.7029529206250534, ""magnitude_ok"": true, ""replicated"": false}}"
primary,DEL:IFNB1,PELO,True,False,"{""res"": {""beta"": 0.08784638680277512, ""r"": 0.10886003486629725, ""p_two_sided"": 0.14921294503715232, ""se"": 0.06063840033373788, ""df"": 175, ""n"": 211, ""n_pos"": 7, ""n_neg"": 204, ""dep_sd"": 0.12496766742879972}, ""rep"": {""same_sign"": false, ""p_one_sided"": 0.9253935274814238, ""d_discovery_shrunken"": 1.00412621117257, ""d_holdout"": 0.7029529206250534, ""magnitude_ok"": true, ""replicated"": false}}"
primary,MUT_DAM:RB1,E2F3,True,True,"{""res"": {""beta"": -0.2507221537636091, ""r"": -0.29230495081237906, ""p_two_sided"": 2.6456650956664454e-13, ""se"": 0.0335157320957326, ""df"": 599, ""n"": 654, ""n_pos"": 36, ""n_neg"": 618, ""dep_sd"": 0.1920538272075908}, ""rep"": {""same_sign"": true, ""p_one_sided"": 1.3228325478332227e-13, ""d_discovery_shrunken"": 1.1950506781083763, ""d_holdout"": 1.3054785598862542, ""magnitude_ok"": true, ""replicated"": true}}"
primary,SIG:MSI_HIGH,WRN,True,True,"{""res"": {""beta"": -0.5481990442781164, ""r"": -0.31690055373810583, ""p_two_sided"": 1.7375183803777454e-15, ""se"": 0.06703788769382257, ""df"": 599, ""n"": 654, ""n_pos"": 53, ""n_neg"": 601, ""dep_sd"": 0.33045206014256717}, ""rep"": {""same_sign"": true, ""p_one_sided"": 8.687591901888727e-16, ""d_discovery_shrunken"": 1.3867297611720923, ""d_holdout"": 1.6589366821971285, ""magnitude_ok"": true, ""replicated"": true}}"
primary,MUT_HOT:NRAS,RAF1,True,True,"{""res"": {""beta"": -0.11314346872807418, ""r"": -0.15373329344628733, ""p_two_sided"": 0.00019943380177281497, ""se"": 0.030222376834887734, ""df"": 579, ""n"": 634, ""n_pos"": 31, ""n_neg"": 603, ""dep_sd"": 0.15774953789879892}, ""rep"": {""same_sign"": true, ""p_one_sided"": 9.971690088640748e-05, ""d_discovery_shrunken"": 1.1662150897909789, ""d_holdout"": 0.7172348663275269, ""magnitude_ok"": true, ""replicated"": true}}"
primary,MUT_DAM:KDM2B,WRN,True,True,"{""res"": {""beta"": -0.31157441203838177, ""r"": -0.15113680421734507, ""p_two_sided"": 0.0002001448445099065, ""se"": 0.08326461148527568, ""df"": 599, ""n"": 654, ""n_pos"": 15, ""n_neg"": 639, ""dep_sd"": 0.33045206014256717}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.00010007242225495325, ""d_discovery_shrunken"": 1.3101551535080707, ""d_holdout"": 0.9428732624755282, ""magnitude_ok"": true, ""replicated"": true}}"
primary,MUT_HOT:BRAF,DUSP4,True,True,"{""res"": {""beta"": -0.08964157081128973, ""r"": -0.12464834815019632, ""p_two_sided"": 0.002203211948205317, ""se"": 0.029154739953846993, ""df"": 599, ""n"": 654, ""n_pos"": 63, ""n_neg"": 591, ""dep_sd"": 0.15787297519412025}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.0011016059741026584, ""d_discovery_shrunken"": 0.9600717551149225, ""d_holdout"": 0.5678082059394058, ""magnitude_ok"": true, ""replicated"": true}}"
