set,context,dep_gene,tested,replicated,result
primary,MUT_DAM:RB1,CCND1,False,False,"{""res"": null, ""rep"": null}"
primary,MUT_DAM:SEC31A,WRN,False,False,"{""res"": null, ""rep"": null}"
primary,DEL:FOCAD,PELO,False,False,"{""res"": null, ""rep"": null}"
primary,DEL:HACD4,PELO,False,False,"{""res"": null, ""rep"": null}"
primary,DEL:IFNB1,PELO,False,False,"{""res"": null, ""rep"": null}"
primary,MUT_DAM:RB1,E2F3,False,False,"{""res"": null, ""rep"": null}"
primary,SIG:MSI_HIGH,WRN,False,False,"{""res"": null, ""rep"": null}"
primary,MUT_HOT:NRAS,RAF1,False,False,"{""res"": null, ""rep"": null}"
primary,MUT_DAM:KDM2B,WRN,False,False,"{""res"": null, ""rep"": null}"
primary,MUT_HOT:BRAF,DUSP4,False,False,"{""res"": null, ""rep"": null}"
primary,MUT_DAM:APC,CTNNB1,False,False,"{""res"": null, ""rep"": null}"
primary,MUT_HOT:BRAF,MAPK1,False,False,"{""res"": null, ""rep"": null}"
primary,MUT_HOT:BRAF,MAP2K1,False,False,"{""res"": null, ""rep"": null}"
primary,MUT_DAM:SMARCA4,SMARCA2,False,False,"{""res"": null, ""rep"": null}"
primary,MUT_DAM:RB1,SKP2,False,False,"{""res"": null, ""rep"": null}"
primary,MUT_DAM:MIDEAS,HDAC1,False,False,"{""res"": null, ""rep"": null}"
primary,MUT_DAM:ARID1A,ARID1B,False,False,"{""res"": null, ""rep"": null}"
primary,MUT_DAM:CTCF,EIF2AK4,False,False,"{""res"": null, ""rep"": null}"
primary,MUT_DAM:ATXN2L,HDAC1,False,False,"{""res"": null, ""rep"": null}"
primary,MUT_DAM:EP300,CREBBP,False,False,"{""res"": null, ""rep"": null}"
primary,MUT_DAM:MYH9,UQCC2,False,False,"{""res"": null, ""rep"": null}"
primary,DEL:LILRA6,EIF1AX,False,False,"{""res"": null, ""rep"": null}"
primary,MUT_DAM:SMARCA4,RAB6A,False,False,"{""res"": null, ""rep"": null}"
primary,MUT_DAM:ESRP1,SATB2,False,False,"{""res"": null, ""rep"": null}"
