set,context,drug,tested,replicated,result
primary,EXPR_LOW:TEF,5-Fluorouracil,True,False,"{""res"": {""beta"": 0.035384614406347756, ""r"": 0.0255394491327968, ""p_two"": 0.6092168185364331, ""se"": 0.06916542852470627, ""df"": 401, ""n"": 444, ""n_pos"": 11, ""n_neg"": 433, ""dep_sd"": 0.22324851471334806, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": false, ""p_one_sided"": 0.6953915907317835, ""d_discovery"": 0.940813110638783, ""d_holdout"": 0.15849876740179766, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:CCDC148,5-Fluorouracil,True,False,"{""res"": {""beta"": -0.013653969787634836, ""r"": -0.027073356246532378, ""p_two"": 0.5878839598706338, ""se"": 0.0251759248305132, ""df"": 401, ""n"": 444, ""n_pos"": 311, ""n_neg"": 133, ""dep_sd"": 0.22324851471334806, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.2939419799353169, ""d_discovery"": 0.44830849103360404, ""d_holdout"": 0.061160405950142986, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:STK32A,5-Fluorouracil,True,False,"{""res"": {""beta"": -0.00030075669215232905, ""r"": -0.0005291851972306753, ""p_two"": 0.9915503038780009, ""se"": 0.028381501337650362, ""df"": 401, ""n"": 444, ""n_pos"": 331, ""n_neg"": 113, ""dep_sd"": 0.22324851471334806, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.49577515193900046, ""d_discovery"": 0.427381358305561, ""d_holdout"": 0.0013471833957708602, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:ZNF467,5-Fluorouracil,True,False,"{""res"": {""beta"": -0.013747943668403966, ""r"": -0.027519825123800485, ""p_two"": 0.5817399698392032, ""se"": 0.02493764114254999, ""df"": 401, ""n"": 444, ""n_pos"": 244, ""n_neg"": 200, ""dep_sd"": 0.22324851471334806, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.2908699849196016, ""d_discovery"": 0.3977218725923337, ""d_holdout"": 0.061581344386798624, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:ZNF70,5-Fluorouracil,True,False,"{""res"": {""beta"": -0.0394076529325487, ""r"": -0.07827160382778774, ""p_two"": 0.11669025873779257, ""se"": 0.025065115964446584, ""df"": 401, ""n"": 444, ""n_pos"": 168, ""n_neg"": 276, ""dep_sd"": 0.22324851471334806, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.058345129368896284, ""d_discovery"": 0.35817265603809817, ""d_holdout"": 0.17651921663688683, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:ZNF610,5-Fluorouracil,True,False,"{""res"": {""beta"": -0.007188699796434363, ""r"": -0.014683879333337181, ""p_two"": 0.7688518649258207, ""se"": 0.024445027424124736, ""df"": 401, ""n"": 444, ""n_pos"": 254, ""n_neg"": 190, ""dep_sd"": 0.22324851471334806, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.38442593246291035, ""d_discovery"": 0.3568247908611462, ""d_holdout"": 0.032200437282481724, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:EVA1A,5-azacytidine,True,False,"{""res"": {""beta"": -0.011538459659510268, ""r"": -0.031564126434988425, ""p_two"": 0.5114436584180118, ""se"": 0.017558752738015767, ""df"": 433, ""n"": 476, ""n_pos"": 108, ""n_neg"": 368, ""dep_sd"": 0.1423561333270807, ""n_broad_ids"": 2}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.2557218292090059, ""d_discovery"": 0.5221263801070384, ""d_holdout"": 0.08105347756952094, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:SOWAHB,5-azacytidine,True,False,"{""res"": {""beta"": 0.019585310115833858, ""r"": 0.05955018950321128, ""p_two"": 0.21514402826498638, ""se"": 0.015777272803838376, ""df"": 433, ""n"": 476, ""n_pos"": 300, ""n_neg"": 176, ""dep_sd"": 0.1423561333270807, ""n_broad_ids"": 2}, ""rep"": {""same_sign"": false, ""p_one_sided"": 0.8924279858675068, ""d_discovery"": 0.47405215151890273, ""d_holdout"": 0.1375796718981837, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:EDN1,5-azacytidine,True,False,"{""res"": {""beta"": -0.009366506831647465, ""r"": -0.026177375938405606, ""p_two"": 0.5861010165419065, ""se"": 0.01718932186786764, ""df"": 433, ""n"": 476, ""n_pos"": 140, ""n_neg"": 336, ""dep_sd"": 0.1423561333270807, ""n_broad_ids"": 2}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.29305050827095325, ""d_discovery"": 0.46588124332964037, ""d_holdout"": 0.06579629983435112, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:CRACDL,5-azacytidine,True,False,"{""res"": {""beta"": 0.013264846443059256, ""r"": 0.040567243499723925, ""p_two"": 0.3986638779266195, ""se"": 0.015700920910387665, ""df"": 433, ""n"": 476, ""n_pos"": 277, ""n_neg"": 199, ""dep_sd"": 0.1423561333270807, ""n_broad_ids"": 2}, ""rep"": {""same_sign"": false, ""p_one_sided"": 0.8006680610366903, ""d_discovery"": 0.460256066397448, ""d_holdout"": 0.09318071608886457, ""magnitude_ok"": false, ""replicated"": false}}"
