context,drug,beta,r,se,beta_lb,p,n_models,df,q
EXPR_LOW:TEF,5-Fluorouracil,-1.6147491642881795,-0.2010956612650445,0.3094726671326907,1.0081827367081058,2.4432598189809034e-07,711,646,0.0015075655339259711
EXPR_LOW:CCDC148,5-Fluorouracil,-0.7694469316528734,-0.1983143653578243,0.14962207463013036,0.47618766537781787,3.5968555760600664e-07,711,646,0.0018517995699565241
EXPR_LOW:STK32A,5-Fluorouracil,-0.7335289903514267,-0.18332511903273607,0.1547589194300895,0.4302015082684513,2.6329603384537657e-06,711,646,0.005748922951044309
EXPR_LOW:ZNF467,5-Fluorouracil,-0.682623418110694,-0.1984619368023108,0.1326361468429289,0.4226565702985534,3.52428784693227e-07,711,646,0.0018517266276075939
EXPR_LOW:ZNF70,5-Fluorouracil,-0.6147437684150773,-0.17511252246271758,0.13598711322615384,0.34820902649181573,7.335280254312671e-06,711,646,0.009843390780690237
EXPR_LOW:ZNF610,5-Fluorouracil,-0.61243038210759,-0.1775040825868202,0.1335919251904919,0.3505902087342259,5.469070399243782e-06,711,646,0.008564283400819247
EXPR_LOW:EVA1A,5-azacytidine,-0.7255114241738537,-0.23176730612443097,0.1343139904625882,0.4622560028671808,1.011512820729628e-07,574,514,0.00083217885319146
EXPR_LOW:SOWAHB,5-azacytidine,-0.6587107349577918,-0.20278399574043549,0.1403011820588904,0.3837204181223666,3.425129360934763e-06,574,514,0.006638540785308525
EXPR_LOW:EDN1,5-azacytidine,-0.6473569948231327,-0.19878616586585351,0.1407735974932711,0.37144074373632135,5.362308258822591e-06,574,514,0.008479735961057932
EXPR_LOW:CRACDL,5-azacytidine,-0.6395406302746336,-0.2027346376509593,0.13625265803168599,0.3724854205325291,3.4443259429886214e-06,574,514,0.006668024706386063
EXPR_LOW:CDH3,5-azacytidine,-0.6386192155393281,-0.19928116141894067,0.13851433006904051,0.3671311286040087,5.075267957598371e-06,574,514,0.008237004423981915
EXPR_LOW:TTYH1,5-azacytidine,-0.6288492164533396,-0.2193379905998087,0.12337997539428996,0.38702446468053125,4.86104504739745e-07,574,514,0.002199105199567589
EXPR_LOW:BMPR1A,ABT737,-1.830600609047835,-0.20193636714421584,0.3515023416002259,1.1416560195113923,2.5798398243809463e-07,703,638,0.0015573414758560866
EXPR_LOW:BCL3,ABT737,-1.3691115591181835,-0.17803125813815304,0.2995975759001438,0.7819003103539016,5.861704704216406e-06,703,638,0.008873637903382312
