gene	status	pass	family_p	holm_p	clone1_delta	clone2_delta
CMTM5	expression_or_variance_ineligible	False	1.0	1.0	0.053316266115690736	-0.4475392750198569
SLC2A14	expression_or_variance_ineligible	False	1.0	1.0	0.60264122091305	0.8652392732924961
NID2	evaluable	False	0.9716804527382558	1.0	0.7562142978016206	0.45169448794966804
DCAF8	evaluable	False	0.9899999018615446	1.0	0.14952904233370568	-0.05933331259725172
PIANP	expression_or_variance_ineligible	False	1.0	1.0	-0.6946404667846748	-0.05120392197063123
MEX3B	evaluable	False	0.7028946341211657	1.0	-0.31784975791729053	-0.3825702815473413
ANKRD52	evaluable	False	0.9923722407828305	1.0	0.04455988769007524	0.0921941381657172
ZFTA	evaluable	False	0.9675142278040959	1.0	-0.1362736027558622	-0.2949758303611194
FYCO1	evaluable	False	0.8185909876619925	1.0	-0.41641185640843137	-0.3180109416184953
LYSMD3	evaluable	False	0.9516394524119297	1.0	-0.10919851684474668	-0.15178998693002832
