context,context_kind,context_gene,dep_gene,pair,ctx_group,ky_pos,ky_evaluable,beta_av,se_av,beta_lb_av,p_av,q_av,n_av,beta_ky,p_ky_two,p_ky_one,av_pass,ky_pass,dep_expr_in_context,dep_expressed
DEL:ELAVL2,DEL,ELAVL2,ELAVL1,ELAVL1|ELAVL2,DEL:ELAVL2,19,True,-0.01760170385982411,0.03717032794241091,-0.05525213890730127,0.635962323942786,0.7887904793088818,833,-0.011407655242677438,0.8554490914362671,0.42772454571813356,False,False,,False
EXPR_LOW:COPZ2,EXPR_LOW,COPZ2,COPZ1,COPZ1|COPZ2,EXPR_LOW:COPZ2,69,True,-0.011206983364669732,0.022242454139905214,-0.03238822674954449,0.6144788728171314,0.7837719584311236,1031,-0.05254377119622723,0.2960278223965528,0.1480139111982764,False,False,,False
EXPR_LOW:TEAD3,EXPR_LOW,TEAD3,TEAD1,TEAD1|TEAD3,EXPR_LOW:TEAD3,7,True,-0.0769302357201679,0.05331896944430592,-0.027574944390671707,0.14939543672747901,0.34147528394852344,1031,-0.04849387200259004,0.6977477397684505,0.34887386988422525,False,False,,False
EXPR_LOW:RGPD5,EXPR_LOW,RGPD5,RANBP2,RANBP2|RGPD5,EXPR_LOW:RGPD5,9,True,-0.025383010071344327,0.03872025492893985,-0.05050868958937778,0.512272141942816,0.751959107438996,1031,0.0831181765794366,0.28931736466119123,0.8553413176694044,False,False,,False
EXPR_LOW:SAMD4A,EXPR_LOW,SAMD4A,SAMD4B,SAMD4A|SAMD4B,EXPR_LOW:SAMD4A,34,True,-0.14421854616286728,0.030457283821621463,0.0845222698724892,2.5201404856016784e-06,2.3022551811527215e-05,1031,-0.14152691181908472,0.009180792608639625,0.0045903963043198125,False,False,,False
EXPR_LOW:BIRC3,EXPR_LOW,BIRC3,BIRC2,BIRC2|BIRC3,EXPR_LOW:BIRC3,44,True,-0.09603098621634028,0.023540755522418053,0.049891105392400895,4.892116434370793e-05,0.00037273268071396514,1031,-0.06846157393434243,0.11815150158744654,0.05907575079372327,False,False,,False
EXPR_LOW:VRK2,EXPR_LOW,VRK2,VRK1,VRK1|VRK2,EXPR_LOW:VRK2,19,True,-0.2181456426113693,0.046125176252431,0.12774029715660454,2.5900370787968117e-06,2.3022551811527215e-05,1031,-0.9856403586401918,7.999383505005757e-16,3.9996917525028784e-16,False,True,,False
EXPR_LOW:CTPS2,EXPR_LOW,CTPS2,CTPS1,CTPS1|CTPS2,EXPR_LOW:CTPS2,10,True,-0.17919005240880512,0.07247310127401542,0.0371427739117349,0.013589884111895453,0.06039948494175757,1031,-0.08765714630790118,0.49962699270829364,0.24981349635414682,False,False,,False
EXPR_LOW:CDK14,EXPR_LOW,CDK14,CDK1,CDK1|CDK14,EXPR_LOW:CDK14,66,True,0.06816034659213825,0.04443990293967412,-0.018941863169623027,0.12541810063883627,0.3267013140037101,1031,0.14562046896458783,0.0672571072275061,0.966371446386247,False,False,,False
EXPR_LOW:CDK14,EXPR_LOW,CDK14,CDK6,CDK14|CDK6,EXPR_LOW:CDK14,66,True,0.07651509343282262,0.044550403062926285,-0.010803696570512902,0.0862122839014046,0.2602634985702781,1031,0.02198572299940318,0.7152451894072375,0.6423774052963813,False,False,,False
EXPR_LOW:CDK14,EXPR_LOW,CDK14,CDK2,CDK14|CDK2,EXPR_LOW:CDK14,66,True,-0.06829718643461867,0.0329692972898527,0.0036773637465073866,0.038575923878284124,0.1469559004887014,1031,0.010990255902129877,0.8322697040718676,0.5838651479640662,False,False,,False
EXPR_LOW:ATP2B4,EXPR_LOW,ATP2B4,ATP2B1,ATP2B1|ATP2B4,EXPR_LOW:ATP2B4,7,True,-0.36273440848451777,0.05352497044630924,0.2578254664097517,2.1432196649705162e-11,3.8101682932809177e-10,1031,-0.30497105546183023,0.0005726566094425886,0.0002863283047212943,True,True,4.234203683929191,True
