set,context,dep_gene,context_gene,pair,tested_events,replicated_events,replicated,events
primary,EXPR_LOW:TTC7B,TTC7A,TTC7B,TTC7A|TTC7B,3,2,True,"[{""dataset"": ""in4mer_unified"", ""line"": ""HAP1"", ""gi"": -0.79, ""sl_called"": false, ""sko_dep"": -0.13, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""RPE1"", ""gi"": -0.02, ""sl_called"": false, ""sko_dep"": 0.22, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""A375"", ""gi"": -2.13, ""sl_called"": true, ""sko_dep"": -0.18, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": true}, {""dataset"": ""in4mer_unified"", ""line"": ""Mewo"", ""gi"": -1.49, ""sl_called"": true, ""sko_dep"": 0.21, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": true}, {""dataset"": ""in4mer_unified"", ""line"": ""RPE"", ""gi"": -1.33, ""sl_called"": true, ""sko_dep"": -0.05, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}]"
primary,EXPR_LOW:CYB5A,CYB5B,CYB5A,CYB5A|CYB5B,3,0,False,"[{""dataset"": ""in4mer_unified"", ""line"": ""HAP1"", ""gi"": 0.2, ""sl_called"": false, ""sko_dep"": -0.9, ""ctx_positive"": true, ""predicted"": ""sko_dep_lethal"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""RPE1"", ""gi"": 0.01, ""sl_called"": false, ""sko_dep"": 0.21, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""A375"", ""gi"": -0.41, ""sl_called"": false, ""sko_dep"": -0.55, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""Mewo"", ""gi"": -0.26, ""sl_called"": false, ""sko_dep"": 0.01, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""RPE"", ""gi"": -0.33, ""sl_called"": false, ""sko_dep"": -0.35, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}]"
primary,EXPR_LOW:STX2,STX4,STX2,STX2|STX4,0,0,False,[]
primary,EXPR_LOW:ATP2B4,ATP2B1,ATP2B4,ATP2B1|ATP2B4,3,0,False,"[{""dataset"": ""in4mer_unified"", ""line"": ""A549"", ""gi"": -0.42, ""sl_called"": false, ""sko_dep"": -1.19, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""Hs936"", ""gi"": 0.41, ""sl_called"": false, ""sko_dep"": -0.08, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""HS944"", ""gi"": -0.37, ""sl_called"": false, ""sko_dep"": -0.26, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""HSC5"", ""gi"": -0.2, ""sl_called"": false, ""sko_dep"": -0.21, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""IPC298"", ""gi"": -0.89, ""sl_called"": false, ""sko_dep"": 0.07, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""Meljuso"", ""gi"": -0.33, ""sl_called"": false, ""sko_dep"": -0.1, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""MeWo"", ""gi"": 0.04, ""sl_called"": false, ""sko_dep"": -0.15, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""PATU8988s"", ""gi"": -0.47, ""sl_called"": false, ""sko_dep"": -0.92, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""TIGI1"", ""gi"": -0.91, ""sl_called"": false, ""sko_dep"": -0.03, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""TIMEL_202"", ""gi"": -0.16, ""sl_called"": false, ""sko_dep"": -0.4, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""TIPK1"", ""gi"": -0.6, ""sl_called"": false, ""sko_dep"": -1.65, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}]"
primary,EXPR_LOW:SLC16A3,SLC16A1,SLC16A3,SLC16A1|SLC16A3,1,1,True,"[{""dataset"": ""in4mer_unified"", ""line"": ""HAP1"", ""gi"": -1.38, ""sl_called"": true, ""sko_dep"": 0.26, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": true}, {""dataset"": ""in4mer_unified"", ""line"": ""RPE1"", ""gi"": 0.19, ""sl_called"": false, ""sko_dep"": 0.21, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}]"
primary,EXPR_LOW:FERMT1,FERMT2,FERMT1,FERMT1|FERMT2,3,2,True,"[{""dataset"": ""in4mer_unified"", ""line"": ""A549"", ""gi"": 0.11, ""sl_called"": false, ""sko_dep"": -0.97, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""Hs936"", ""gi"": 0.52, ""sl_called"": false, ""sko_dep"": -2.1, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""HS944"", ""gi"": -0.05, ""sl_called"": false, ""sko_dep"": -1.23, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""HSC5"", ""gi"": -0.36, ""sl_called"": false, ""sko_dep"": -0.42, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""IPC298"", ""gi"": 0.08, ""sl_called"": false, ""sko_dep"": -1.98, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""Meljuso"", ""gi"": 0.2, ""sl_called"": false, ""sko_dep"": -0.97, ""ctx_positive"": true, ""predicted"": ""sko_dep_lethal"", ""replicated"": true}, {""dataset"": ""in4mer_unified"", ""line"": ""MeWo"", ""gi"": -0.05, ""sl_called"": false, ""sko_dep"": -0.74, ""ctx_positive"": true, ""predicted"": ""sko_dep_lethal"", ""replicated"": true}, {""dataset"": ""in4mer_unified"", ""line"": ""PATU8988s"", ""gi"": 0.03, ""sl_called"": false, ""sko_dep"": -0.04, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""TIGI1"", ""gi"": -0.31, ""sl_called"": false, ""sko_dep"": -0.75, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""TIMEL_202"", ""gi"": -0.08, ""sl_called"": false, ""sko_dep"": -0.6, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""TIPK1"", ""gi"": -0.65, ""sl_called"": false, ""sko_dep"": 0.12, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}]"
primary,LOF:STAG2,STAG1,STAG2,STAG1|STAG2,2,0,False,"[{""dataset"": ""in4mer_unified"", ""line"": ""HeLa"", ""gi"": -0.64, ""sl_called"": false, ""sko_dep"": 0.05, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""PC9"", ""gi"": -0.47, ""sl_called"": false, ""sko_dep"": -0.3, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}]"
primary,LOF:SMARCA4,SMARCA2,SMARCA4,SMARCA2|SMARCA4,10,1,True,"[{""dataset"": ""in4mer_unified"", ""line"": ""A549"", ""gi"": 0.01, ""sl_called"": false, ""sko_dep"": -1.6, ""ctx_positive"": true, ""predicted"": ""sko_dep_lethal"", ""replicated"": true}, {""dataset"": ""in4mer_unified"", ""line"": ""HT29"", ""gi"": -0.42, ""sl_called"": false, ""sko_dep"": 0.1, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""OVCAR8"", ""gi"": -0.07, ""sl_called"": false, ""sko_dep"": -0.11, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""HAP1"", ""gi"": 0.3, ""sl_called"": false, ""sko_dep"": -0.02, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""RPE1"", ""gi"": -0.39, ""sl_called"": false, ""sko_dep"": 0.34, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""HeLa"", ""gi"": -0.31, ""sl_called"": false, ""sko_dep"": 0.41, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""PC9"", ""gi"": -0.12, ""sl_called"": false, ""sko_dep"": 0.13, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""A375"", ""gi"": -0.78, ""sl_called"": false, ""sko_dep"": -0.06, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""Mewo"", ""gi"": -0.88, ""sl_called"": false, ""sko_dep"": 0.1, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""RPE"", ""gi"": -0.69, ""sl_called"": false, ""sko_dep"": 0.0, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""Hs936"", ""gi"": 0.45, ""sl_called"": false, ""sko_dep"": -0.32, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""HS944"", ""gi"": -0.28, ""sl_called"": false, ""sko_dep"": -0.08, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""HSC5"", ""gi"": -0.15, ""sl_called"": false, ""sko_dep"": -0.13, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""IPC298"", ""gi"": -0.39, ""sl_called"": false, ""sko_dep"": -0.09, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""Meljuso"", ""gi"": 0.07, ""sl_called"": false, ""sko_dep"": -0.19, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""MeWo"", ""gi"": 0.06, ""sl_called"": false, ""sko_dep"": -0.05, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""PATU8988s"", ""gi"": -0.2, ""sl_called"": false, ""sko_dep"": 0.1, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""TIGI1"", ""gi"": 0.22, ""sl_called"": false, ""sko_dep"": -0.35, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""TIMEL_202"", ""gi"": -0.02, ""sl_called"": false, ""sko_dep"": -0.24, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""TIPK1"", ""gi"": -0.68, ""sl_called"": false, ""sko_dep"": -0.19, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}]"
primary,LOF:PDS5B,PDS5A,PDS5B,PDS5A|PDS5B,5,0,False,"[{""dataset"": ""in4mer_unified"", ""line"": ""HAP1"", ""gi"": -0.83, ""sl_called"": false, ""sko_dep"": -1.49, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""RPE1"", ""gi"": -0.52, ""sl_called"": false, ""sko_dep"": -0.45, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""HeLa"", ""gi"": 0.64, ""sl_called"": false, ""sko_dep"": -4.12, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""PC9"", ""gi"": -0.79, ""sl_called"": false, ""sko_dep"": -0.59, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""A375"", ""gi"": -0.24, ""sl_called"": false, ""sko_dep"": -0.12, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""Mewo"", ""gi"": -0.24, ""sl_called"": false, ""sko_dep"": -0.21, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""RPE"", ""gi"": -0.08, ""sl_called"": false, ""sko_dep"": -0.47, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}]"
primary,LOF:EP300,CREBBP,EP300,CREBBP|EP300,6,0,False,"[{""dataset"": ""in4mer_unified"", ""line"": ""HAP1"", ""gi"": 0.2, ""sl_called"": false, ""sko_dep"": -1.71, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""RPE1"", ""gi"": 0.04, ""sl_called"": false, ""sko_dep"": -0.38, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""HeLa"", ""gi"": -0.71, ""sl_called"": false, ""sko_dep"": -0.42, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""PC9"", ""gi"": -0.52, ""sl_called"": false, ""sko_dep"": -0.2, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""A549"", ""gi"": -0.12, ""sl_called"": false, ""sko_dep"": -0.08, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""Hs936"", ""gi"": -0.76, ""sl_called"": false, ""sko_dep"": -0.17, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""HS944"", ""gi"": 0.04, ""sl_called"": false, ""sko_dep"": 0.35, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""HSC5"", ""gi"": -0.31, ""sl_called"": false, ""sko_dep"": -0.62, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""IPC298"", ""gi"": -0.19, ""sl_called"": false, ""sko_dep"": -0.14, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""Meljuso"", ""gi"": -0.04, ""sl_called"": false, ""sko_dep"": 0.13, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""MeWo"", ""gi"": 0.08, ""sl_called"": false, ""sko_dep"": -0.15, ""ctx_positive"": false, ""predicted"": ""sl_gi"", ""replicated"": false}, {""dataset"": ""in4mer_unified"", ""line"": ""PATU8988s"", ""gi"": -0.37, ""sl_called"": false, ""sko_dep"": -0.26, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""TIGI1"", ""gi"": 0.02, ""sl_called"": false, ""sko_dep"": -0.71, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""TIMEL_202"", ""gi"": -0.08, ""sl_called"": false, ""sko_dep"": 0.11, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}, {""dataset"": ""in4mer_unified"", ""line"": ""TIPK1"", ""gi"": -0.33, ""sl_called"": false, ""sko_dep"": -0.1, ""ctx_positive"": null, ""predicted"": ""context_unknown"", ""replicated"": null}]"
