context,context_kind,context_gene,dep_gene,pair,ctx_group,ky_pos,ky_evaluable,beta_av,se_av,beta_lb_av,p_av,q_av,n_av,beta_ky,p_ky_two,p_ky_one,av_pass,ky_pass,dep_expr_in_context,dep_expressed,stratum,locus_context,locus_dep,same_chrom,same_arm,in_synlethdb,in_nonsl_ref,is_known,is_novel
EXPR_LOW:TTC7B,EXPR_LOW,TTC7B,TTC7A,TTC7A|TTC7B,EXPR_LOW:TTC7B,24,True,-0.674364859809249,0.0340558655750411,0.6076153632821684,2.077575443074491e-73,3.3241207089191858e-71,1031,-0.8113870626751641,4.880431142894723e-36,2.4402155714473617e-36,True,True,3.8589670488001824,True,expression,14q32.11,2p21,False,False,False,True,False,False
EXPR_LOW:CYB5A,EXPR_LOW,CYB5A,CYB5B,CYB5A|CYB5B,EXPR_LOW:CYB5A,16,True,-0.5891632666523108,0.058805447173603,0.4739045901920489,1.5514431766928342e-22,8.274363609028449e-21,1031,-0.3560892302175432,3.066723658307733e-05,1.5333618291538665e-05,True,True,6.492554652918695,True,expression,18q22.3,16q22.1,False,False,False,True,False,False
EXPR_LOW:STX2,EXPR_LOW,STX2,STX4,STX2|STX4,EXPR_LOW:STX2,7,True,-0.5538458519740461,0.0816006120923655,0.3939086522730095,2.0014973959474117e-11,3.810168293280917e-10,1031,-0.5860294761358932,0.0022673353809395,0.0011336676904697,True,True,5.194359864163291,True,expression,12q24.33,16p11.2,False,False,False,False,False,True
EXPR_LOW:ATP2B4,EXPR_LOW,ATP2B4,ATP2B1,ATP2B1|ATP2B4,EXPR_LOW:ATP2B4,7,True,-0.3627344084845177,0.0535249704463092,0.2578254664097517,2.143219664970516e-11,3.810168293280917e-10,1031,-0.3049710554618302,0.0005726566094425,0.0002863283047212,True,True,4.234203683929191,True,expression,1q32.1,12q21.33,False,False,False,True,False,False
EXPR_LOW:SLC16A3,EXPR_LOW,SLC16A3,SLC16A1,SLC16A1|SLC16A3,EXPR_LOW:SLC16A3,15,True,-0.3083898865537424,0.0315921841198641,0.2464692056788087,1.5970238855195813e-21,6.388095542078325e-20,1031,-0.3008734657318744,2.621741638185298e-05,1.310870819092649e-05,True,True,5.851610060383175,True,expression,17q25.3,1p13.2,False,False,False,False,False,True
EXPR_LOW:FERMT1,EXPR_LOW,FERMT1,FERMT2,FERMT1|FERMT2,EXPR_LOW:FERMT1,40,True,-0.3062641952982851,0.0402351244720598,0.2274033513330478,6.463587305686577e-14,1.4773913841569316e-12,1031,-0.4584503923828498,1.502956994268856e-08,7.51478497134428e-09,True,True,4.43229133824778,True,expression,20p12.3,14q22.1,False,False,False,True,False,False
LOF:STAG2,LOF,STAG2,STAG1,STAG1|STAG2,LOF:STAG2,9,True,-0.4283802119802926,0.044607632621636,0.340949252041886,6.3836008302942945e-21,2.0427522656941745e-19,1043,-0.5979397259576804,7.195983106054826e-12,3.597991553027413e-12,True,True,3.896271848807375,True,lof,Xq25,3q22.3,False,False,True,True,True,False
LOF:SMARCA4,LOF,SMARCA4,SMARCA2,SMARCA2|SMARCA4,LOF:SMARCA4,14,True,-0.4003037773286542,0.0340474467565437,0.3335707816858284,6.2741081896272475e-30,5.019286551701798e-28,1043,-0.1763251269259372,0.0071047248415931,0.0035523624207965,True,True,3.7648558236548326,True,lof,19p13.2,9p24.3,False,False,True,True,True,False
LOF:PDS5B,LOF,PDS5B,PDS5A,PDS5A|PDS5B,LOF:PDS5B,12,True,-0.4363548997695047,0.0919516986114743,0.256129570491015,2.393063426212852e-06,2.3022551811527215e-05,1043,-0.4305604548727045,4.09927870026919e-06,2.049639350134595e-06,True,True,5.055268407237302,True,lof,13q13.1,4p14,False,False,False,True,False,False
LOF:EP300,LOF,EP300,CREBBP,CREBBP|EP300,LOF:EP300,34,True,-0.3594877314901236,0.0622505623602602,0.2374766292640135,1.0367955771167766e-08,1.6588729233868425e-07,1043,-0.2545565316861681,1.1453541060728932e-05,5.726770530364466e-06,True,True,4.004935018267085,True,lof,22q13.2,16p13.3,False,False,True,True,True,False
