context,context_kind,context_gene,dep_gene,pair,ctx_group,ky_pos,ky_evaluable,beta_av,se_av,beta_lb_av,p_av,q_av,n_av,beta_ky,p_ky_two,p_ky_one,av_pass,ky_pass,dep_expr_in_context,dep_expressed,stratum
EXPR_LOW:TTC7B,EXPR_LOW,TTC7B,TTC7A,TTC7A|TTC7B,EXPR_LOW:TTC7B,24,True,-0.674364859809249,0.03405586557504113,0.6076153632821684,2.077575443074491e-73,3.3241207089191858e-71,1031,-0.8113870626751641,4.880431142894723e-36,2.4402155714473614e-36,True,True,3.8589670488001824,True,expression
EXPR_LOW:CYB5A,EXPR_LOW,CYB5A,CYB5B,CYB5A|CYB5B,EXPR_LOW:CYB5A,16,True,-0.5891632666523108,0.058805447173603004,0.4739045901920489,1.5514431766928342e-22,8.274363609028449e-21,1031,-0.35608923021754324,3.066723658307733e-05,1.5333618291538665e-05,True,True,6.492554652918695,True,expression
EXPR_LOW:STX2,EXPR_LOW,STX2,STX4,STX2|STX4,EXPR_LOW:STX2,7,True,-0.5538458519740461,0.08160061209236559,0.39390865227300953,2.0014973959474117e-11,3.8101682932809177e-10,1031,-0.5860294761358932,0.002267335380939581,0.0011336676904697906,True,True,5.194359864163291,True,expression
EXPR_LOW:ATP2B4,EXPR_LOW,ATP2B4,ATP2B1,ATP2B1|ATP2B4,EXPR_LOW:ATP2B4,7,True,-0.36273440848451777,0.05352497044630924,0.2578254664097517,2.1432196649705162e-11,3.8101682932809177e-10,1031,-0.30497105546183023,0.0005726566094425886,0.0002863283047212943,True,True,4.234203683929191,True,expression
EXPR_LOW:SLC16A3,EXPR_LOW,SLC16A3,SLC16A1,SLC16A1|SLC16A3,EXPR_LOW:SLC16A3,15,True,-0.3083898865537424,0.03159218411986411,0.24646920567880873,1.5970238855195813e-21,6.388095542078325e-20,1031,-0.30087346573187446,2.621741638185298e-05,1.310870819092649e-05,True,True,5.851610060383175,True,expression
EXPR_LOW:FERMT1,EXPR_LOW,FERMT1,FERMT2,FERMT1|FERMT2,EXPR_LOW:FERMT1,40,True,-0.3062641952982851,0.04023512447205985,0.2274033513330478,6.463587305686576e-14,1.4773913841569316e-12,1031,-0.45845039238284985,1.502956994268856e-08,7.51478497134428e-09,True,True,4.43229133824778,True,expression
LOF:STAG2,LOF,STAG2,STAG1,STAG1|STAG2,LOF:STAG2,9,True,-0.42838021198029264,0.04460763262163604,0.340949252041886,6.3836008302942945e-21,2.0427522656941743e-19,1043,-0.5979397259576804,7.195983106054826e-12,3.597991553027413e-12,True,True,3.896271848807375,True,lof
LOF:SMARCA4,LOF,SMARCA4,SMARCA2,SMARCA2|SMARCA4,LOF:SMARCA4,14,True,-0.4003037773286542,0.03404744675654374,0.33357078168582843,6.2741081896272475e-30,5.019286551701798e-28,1043,-0.1763251269259372,0.007104724841593111,0.0035523624207965555,True,True,3.7648558236548326,True,lof
LOF:PDS5B,LOF,PDS5B,PDS5A,PDS5A|PDS5B,LOF:PDS5B,12,True,-0.43635489976950476,0.09195169861147433,0.25612957049101504,2.393063426212852e-06,2.3022551811527215e-05,1043,-0.43056045487270456,4.09927870026919e-06,2.049639350134595e-06,True,True,5.055268407237302,True,lof
LOF:EP300,LOF,EP300,CREBBP,CREBBP|EP300,LOF:EP300,34,True,-0.35948773149012364,0.06225056236026027,0.23747662926401353,1.0367955771167766e-08,1.6588729233868425e-07,1043,-0.2545565316861681,1.1453541060728932e-05,5.726770530364466e-06,True,True,4.004935018267085,True,lof
