tile_id	chrom	start	tss_count	gc	n_frac	cpg_n
chr1:0-500000	chr1	0	0	nan	1	0
chr1:500000-1000000	chr1	500000	0	nan	1	0
chr1:1000000-1500000	chr1	1000000	0	nan	1	0
chr1:1500000-2000000	chr1	1500000	0	nan	1	0
chr1:2000000-2500000	chr1	2000000	0	nan	1	0
chr1:2500000-3000000	chr1	2500000	0	nan	1	0
chr1:3000000-3500000	chr1	3000000	0	0.386794	0	0
chr1:3500000-4000000	chr1	3500000	1	0.386988	0	3
chr1:4000000-4500000	chr1	4000000	2	0.390788	0	2
chr1:4500000-5000000	chr1	4500000	3	0.410474	0	5
chr1:5000000-5500000	chr1	5000000	2	0.400228	0	2
chr1:5500000-6000000	chr1	5500000	2	0.387736	0	1
chr1:6000000-6500000	chr1	6000000	3	0.399692	0	4
chr1:6500000-7000000	chr1	6500000	0	0.390758	0	0
chr1:7000000-7500000	chr1	7000000	1	0.3978	0	2
chr1:7500000-8000000	chr1	7500000	0	0.385992	0	0
chr1:8000000-8500000	chr1	8000000	0	0.381018	0	0
chr1:8500000-9000000	chr1	8500000	0	0.381536	0	0
chr1:9000000-9500000	chr1	9000000	1	0.386434	0	1
chr1:9500000-10000000	chr1	9500000	13	0.413528	0	7
chr1:10000000-10500000	chr1	10000000	3	0.399266	0	3
chr1:10500000-11000000	chr1	10500000	2	0.40076	0	2
chr1:11000000-11500000	chr1	11000000	1	0.38794	0	1
chr1:11500000-12000000	chr1	11500000	0	0.387134	0	0
chr1:12000000-12500000	chr1	12000000	1	0.390168	0	0
chr1:12500000-13000000	chr1	12500000	3	0.42147	0	3
chr1:13000000-13500000	chr1	13000000	2	0.438438	0	2
chr1:13500000-14000000	chr1	13500000	4	0.419826	0	2
chr1:14000000-14500000	chr1	14000000	1	0.406468	0	2
chr1:14500000-15000000	chr1	14500000	2	0.402662	0	1
chr1:15000000-15500000	chr1	15000000	1	0.398516	0	1
chr1:15500000-16000000	chr1	15500000	2	0.4105	0	2
chr1:16000000-16500000	chr1	16000000	3	0.419088	0	2
chr1:16500000-17000000	chr1	16500000	6	0.414686	0	4
chr1:17000000-17500000	chr1	17000000	2	0.392132	0	3
chr1:17500000-18000000	chr1	17500000	3	0.383782	0	0
chr1:18000000-18500000	chr1	18000000	4	0.379398	0	1
chr1:18500000-19000000	chr1	18500000	0	0.382444	0	0
chr1:19000000-19500000	chr1	19000000	3	0.394546	0	4
chr1:19500000-20000000	chr1	19500000	0	0.38471	0	0
chr1:20000000-20500000	chr1	20000000	1	0.392966	0	0
chr1:20500000-21000000	chr1	20500000	10	0.426976	0	4
chr1:21000000-21500000	chr1	21000000	7	0.428448	0	1
chr1:21500000-22000000	chr1	21500000	1	0.384464	0	1
chr1:22000000-22500000	chr1	22000000	0	0.388671	0.1002	0
chr1:22500000-23000000	chr1	22500000	2	0.391342	0	2
chr1:23000000-23500000	chr1	23000000	4	0.399802	0	3
chr1:23500000-24000000	chr1	23500000	3	0.41312	0	2
chr1:24000000-24500000	chr1	24000000	3	0.40028	0	2
chr1:24500000-25000000	chr1	24500000	2	0.399827	0.1	2
chr1:25000000-25500000	chr1	25000000	1	0.384158	0	0
chr1:25500000-26000000	chr1	25500000	2	0.374463	2e-06	1
chr1:26000000-26500000	chr1	26000000	0	0.371334	0	0
chr1:26500000-27000000	chr1	26500000	1	0.369176	0	0
chr1:27000000-27500000	chr1	27000000	0	0.370756	0	0
chr1:27500000-28000000	chr1	27500000	1	0.359838	0	0
chr1:28000000-28500000	chr1	28000000	0	0.36512	0	0
chr1:28500000-29000000	chr1	28500000	1	0.362308	0	0
chr1:29000000-29500000	chr1	29000000	1	0.356508	0	0
chr1:29500000-30000000	chr1	29500000	0	0.373502	0	0
chr1:30000000-30500000	chr1	30000000	1	0.379748	0	0
chr1:30500000-31000000	chr1	30500000	1	0.401284	0	1
chr1:31000000-31500000	chr1	31000000	8	0.39743	0	1
chr1:31500000-32000000	chr1	31500000	0	0.37539	0	0
chr1:32000000-32500000	chr1	32000000	1	0.375018	0	1
chr1:32500000-33000000	chr1	32500000	2	0.38429	0	0
chr1:33000000-33500000	chr1	33000000	0	0.398118	0	0
chr1:33500000-34000000	chr1	33500000	9	0.42903	0	8
chr1:34000000-34500000	chr1	34000000	5	0.439926	0	4
chr1:34500000-35000000	chr1	34500000	9	0.46172	0	9
chr1:35000000-35500000	chr1	35000000	0	0.433372	0	0
chr1:35500000-36000000	chr1	35500000	0	0.441946	0	0
chr1:36000000-36500000	chr1	36000000	8	0.46996	0	6
chr1:36500000-37000000	chr1	36500000	13	0.475938	0	11
chr1:37000000-37500000	chr1	37000000	5	0.456326	0	3
chr1:37500000-38000000	chr1	37500000	8	0.440522	0	5
chr1:38000000-38500000	chr1	38000000	5	0.435248	0	4
chr1:38500000-39000000	chr1	38500000	4	0.444216	0	3
chr1:39000000-39500000	chr1	39000000	4	0.458232	0	3
chr1:39500000-40000000	chr1	39500000	10	0.45617	0	5
chr1:40000000-40500000	chr1	40000000	5	0.441104	0	2
chr1:40500000-41000000	chr1	40500000	7	0.426808	0	2
chr1:41000000-41500000	chr1	41000000	1	0.40414	0	0
chr1:41500000-42000000	chr1	41500000	1	0.380622	0	0
chr1:42000000-42500000	chr1	42000000	0	0.403356	0	0
chr1:42500000-43000000	chr1	42500000	7	0.428864	0	7
chr1:43000000-43500000	chr1	43000000	4	0.433052	0	4
chr1:43500000-44000000	chr1	43500000	4	0.423362	0	4
chr1:44000000-44500000	chr1	44000000	7	0.394748	0	2
chr1:44500000-45000000	chr1	44500000	2	0.3813	0	1
chr1:45000000-45500000	chr1	45000000	1	0.377836	0	0
chr1:45500000-46000000	chr1	45500000	3	0.390176	0	1
chr1:46000000-46500000	chr1	46000000	3	0.399502	0	1
chr1:46500000-47000000	chr1	46500000	1	0.39586	0	1
chr1:47000000-47500000	chr1	47000000	0	0.385568	0	0
chr1:47500000-48000000	chr1	47500000	1	0.372058	0	0
chr1:48000000-48500000	chr1	48000000	0	0.372224	0	0
chr1:48500000-49000000	chr1	48500000	0	0.368488	0	0
chr1:49000000-49500000	chr1	49000000	1	0.361302	0	0
chr1:49500000-50000000	chr1	49500000	0	0.362832	0	0
chr1:50000000-50500000	chr1	50000000	0	0.364476	0	0
chr1:50500000-51000000	chr1	50500000	1	0.366478	0	1
chr1:51000000-51500000	chr1	51000000	2	0.392788	0	0
chr1:51500000-52000000	chr1	51500000	3	0.421102	0	2
