tile_id	chrom	dlam_mCh	siScr_mCh	dlam_DNK	tss_count	pc1_GSM9401860	pc1_GSM9401861	pc1_GSM9401862	pc1_GSM9401863
chr1:3000000-3500000	chr1	-0.316333	0.677335	0.142713	1	0.544739	0.526024	0.60507	0.650438
chr1:3500000-4000000	chr1	-0.290875	0.621178	0.084191	10	1.07371	1.16878	1.06726	1.10414
chr1:4000000-4500000	chr1	0.105102	1.07247	0.0393	0	0.256582	0.211483	0.333368	0.341443
chr1:4500000-5000000	chr1	0.161373	1.17965	0.19432	1	0.192297	0.190594	0.214178	0.358967
chr1:5000000-5500000	chr1	0.243221	1.19914	0.353005	0	0.115593	0.00762444	0.150472	0.215505
chr1:5500000-6000000	chr1	0.125145	1.15425	0.114638	0	0.302292	0.310053	0.375607	0.346289
chr1:6000000-6500000	chr1	-0.23086	-0.012379	0.049231	11	1.1066	1.15027	1.04771	1.11985
chr1:6500000-7000000	chr1	-0.097535	-0.621001	0.116354	10	1.24003	1.29328	1.30924	1.21703
chr1:7000000-7500000	chr1	-0.115513	-0.338918	-0.167168	0	0.648123	0.64222	0.471908	0.622674
chr1:7500000-8000000	chr1	-0.153343	-0.537392	0.093648	3	1.01254	0.903117	0.821686	0.809184
chr1:8000000-8500000	chr1	0.083038	-1.073	-0.156853	4	0.985923	0.9756	0.875534	0.991935
chr1:8500000-9000000	chr1	0.168099	-1.46494	0.079832	2	1.2469	1.221	1.10233	1.11034
chr1:9000000-9500000	chr1	-0.184267	-0.703792	0.077081	6	1.11955	1.31374	1.25742	1.28126
chr1:9500000-10000000	chr1	-0.153905	-0.809947	0.236925	5	1.16278	1.19732	1.18939	1.14276
chr1:10000000-10500000	chr1	0.103248	-1.19483	0.044627	7	1.19502	1.25645	1.14909	1.18598
chr1:10500000-11000000	chr1	-0.094071	-0.693111	0.069868	4	1.12826	1.13945	1.07929	0.884517
chr1:11000000-11500000	chr1	-0.357849	-0.328665	-0.188014	8	1.28827	1.35702	1.26929	1.28665
chr1:11500000-12000000	chr1	-0.316531	-0.30184	-0.090851	14	1.25621	1.26575	1.17229	1.1424
chr1:12000000-12500000	chr1	0.013466	-0.476725	-0.24355	5	1.28815	1.24959	1.13869	1.25341
chr1:12500000-13000000	chr1	0.03826	0.428318	0.001558	11	0.428763	0.472958	0.404301	0.472769
chr1:13000000-13500000	chr1	0.205221	1.0966	0.148811	7	0.0816684	0.259909	-0.0105095	-0.0184382
chr1:13500000-14000000	chr1	-0.092776	0.906172	0.109823	9	0.200409	0.169604	0.0138913	0.225927
chr1:14000000-14500000	chr1	-0.014314	1.0237	-0.095297	1	0.534671	0.511261	0.471606	0.558305
chr1:14500000-15000000	chr1	0.009116	0.707625	-0.16843	1	0.382501	0.254921	0.141393	0.260195
chr1:15000000-15500000	chr1	-0.321681	0.413442	-0.176134	1	0.654559	0.63587	0.782589	0.629326
chr1:15500000-16000000	chr1	-0.012605	-0.620932	-0.058537	10	1.1571	1.16556	1.12176	1.17467
chr1:16000000-16500000	chr1	0.044107	-0.990834	0.172788	13	1.26071	1.23335	1.19492	1.19769
chr1:16500000-17000000	chr1	-0.131535	-0.884187	-0.001417	6	0.89986	0.816069	0.650284	1.03925
chr1:17000000-17500000	chr1	-0.126007	-0.567322	-0.058496	5	0.578777	0.573149	0.507583	0.588205
chr1:17500000-18000000	chr1	-0.411887	-0.044836	-0.20463	6	0.834125	0.843511	0.734371	0.846361
chr1:18000000-18500000	chr1	-0.108124	0.645642	-0.121186	2	0.345228	0.396956	0.29409	0.325212
chr1:18500000-19000000	chr1	0.016713	0.654669	-0.07339	2	0.340845	0.346572	0.351167	0.405552
chr1:19000000-19500000	chr1	-0.177011	-0.118982	0.007525	3	0.991275	0.991453	0.914365	0.985761
chr1:19500000-20000000	chr1	-0.058498	-0.626644	-0.191638	10	1.21209	1.21827	1.25265	1.16415
chr1:20000000-20500000	chr1	-0.353632	-0.083695	-0.286692	8	0.999668	1.05165	1.043	0.830907
chr1:20500000-21000000	chr1	-0.0477	-0.305559	-0.108116	9	1.03932	0.970636	0.900886	0.999344
chr1:21000000-21500000	chr1	0.096007	-1.39221	0.367795	3	1.35233	1.3403	1.28642	1.30433
chr1:21500000-22000000	chr1	-0.246559	-0.664747	-0.082138	5	1.22198	1.0822	1.18779	1.2469
chr1:22000000-22500000	chr1	0.100369	-1.02471	0.042493	7	1.34585	1.34827	1.31261	1.25765
chr1:22500000-23000000	chr1	0.099023	-0.905643	-0.105189	5	1.07154	0.947073	0.985897	0.838005
chr1:23000000-23500000	chr1	0.03943	-1.00854	0.087617	5	1.26449	1.23107	1.24229	1.21612
chr1:23500000-24000000	chr1	0.058363	-1.15422	-0.19402	7	1.25952	1.29981	1.3057	1.24002
chr1:24000000-24500000	chr1	0.017463	-1.17821	-0.019814	12	1.34058	1.35749	1.27029	1.25283
chr1:24500000-25000000	chr1	0.161118	-1.02975	-0.055242	7	1.18833	1.15157	0.981622	0.947797
chr1:25000000-25500000	chr1	0.02248	-1.14971	0.014822	2	1.13	1.19102	1.17353	1.03836
chr1:25500000-26000000	chr1	-0.010259	-1.04971	0.046145	8	1.31404	1.17962	1.22828	1.15875
chr1:26000000-26500000	chr1	-0.071973	-1.04874	0.163064	14	1.27268	1.2655	1.25571	1.2178
chr1:26500000-27000000	chr1	0.027764	-1.03447	-0.038548	12	1.28723	1.26431	1.27592	1.25184
chr1:27000000-27500000	chr1	0.161508	-1.14125	0.032588	12	1.23262	1.28033	1.23362	1.25669
chr1:27500000-28000000	chr1	0.036628	-0.959914	0.036698	11	1.15716	1.19955	1.16017	1.25728
chr1:28000000-28500000	chr1	0.006781	-1.15485	-0.14984	8	1.28943	1.29736	1.27949	1.26394
chr1:28500000-29000000	chr1	0.235234	-1.33305	0.096205	11	1.26054	1.31191	1.30322	1.41799
chr1:29000000-29500000	chr1	0.026091	-0.766947	-0.044243	4	1.34839	1.22586	1.34354	1.2273
chr1:29500000-30000000	chr1	-0.138864	0.16514	-0.301735	3	0.830001	0.754869	0.801524	0.768981
chr1:30000000-30500000	chr1	-0.295872	0.507703	-0.025507	0	0.504102	0.462073	0.503836	0.416538
chr1:30500000-31000000	chr1	-0.185907	0.666336	-0.108069	0	0.517654	0.569461	0.421722	0.489921
chr1:31000000-31500000	chr1	-0.063062	-0.332591	-0.056904	3	1.20784	1.16917	1.22353	1.35393
chr1:31500000-32000000	chr1	0.09192	-0.918081	-0.292788	6	1.29714	1.25245	1.18667	1.25539
chr1:32000000-32500000	chr1	0.145181	-0.96741	0.13189	9	1.41206	1.36767	1.34147	1.37357
chr1:32500000-33000000	chr1	-0.12292	-0.721586	-0.113279	16	1.34625	1.26652	1.32214	1.36125
chr1:33000000-33500000	chr1	0.032386	-0.868596	-0.049082	11	1.37395	1.42165	1.34647	1.31029
chr1:33500000-34000000	chr1	-0.201724	-0.259749	-0.074416	7	1.19254	1.24075	1.15747	1.22695
chr1:34000000-34500000	chr1	-0.283451	0.574644	-0.419155	1	0.258493	0.310825	0.312326	0.299051
chr1:34500000-35000000	chr1	-0.357729	0.693195	-0.282104	2	0.419009	0.361662	0.258378	0.459839
chr1:35000000-35500000	chr1	-0.222645	0.34587	-0.095396	8	0.829918	0.841077	0.808961	0.902354
chr1:35500000-36000000	chr1	-0.030368	-0.823009	-0.177811	3	1.31648	1.25506	1.29836	1.25307
chr1:36000000-36500000	chr1	-0.109106	-0.709735	-0.057811	9	1.32437	1.30907	1.39867	1.47373
chr1:36500000-37000000	chr1	0.133126	-0.64173	0.04112	13	1.41408	1.41305	1.35023	1.27376
chr1:37000000-37500000	chr1	-0.19003	1.41456	0.117806	0	0.584635	0.524737	0.559228	0.655358
chr1:37500000-38000000	chr1	0.020325	1.0338	0.045733	3	0.723941	0.76787	0.813846	0.957121
chr1:38000000-38500000	chr1	-0.125894	0.053191	-0.085002	15	1.4361	1.34483	1.31261	1.35937
chr1:38500000-39000000	chr1	0.147129	0.907083	-0.122923	1	0.745857	0.805426	0.668527	0.722195
chr1:39000000-39500000	chr1	0.062245	0.182719	-0.068745	6	0.996724	1.04379	1.02881	0.906538
chr1:39500000-40000000	chr1	0.164876	-1.10427	-0.060675	2	1.28779	1.33966	1.28883	1.29798
chr1:40000000-40500000	chr1	0.055942	-0.922795	-0.012051	10	1.34094	1.34494	1.3511	1.43506
chr1:40500000-41000000	chr1	0.01084	-1.18693	0.117915	11	1.2699	1.24182	1.1926	1.28513
chr1:41000000-41500000	chr1	-0.047873	-0.917229	-0.06329	6	1.25351	1.12627	1.19682	1.20429
chr1:41500000-42000000	chr1	-0.172421	-0.711164	-0.00535	2	0.988919	1.01459	0.99855	0.93557
chr1:42000000-42500000	chr1	0.014214	-0.631997	-0.180937	2	0.994523	1.01603	1.07881	1.16793
chr1:42500000-43000000	chr1	0.072955	-0.832117	-0.045049	7	1.1179	1.0528	0.939779	0.962839
chr1:43000000-43500000	chr1	0.104366	-0.882122	-0.195471	10	1.17315	1.26403	1.1568	1.21362
chr1:43500000-44000000	chr1	-0.088867	-0.711216	0.099229	13	1.31442	1.19981	1.2348	1.32415
chr1:44000000-44500000	chr1	-0.113256	-0.766015	-0.037921	9	1.2821	1.26894	1.19816	1.30574
chr1:44500000-45000000	chr1	-0.143878	-0.504741	-0.333476	5	1.03903	1.02767	0.986914	1.00907
chr1:45000000-45500000	chr1	-0.253116	-0.431878	-0.298512	12	1.32665	1.33184	1.27021	1.36051
chr1:45500000-46000000	chr1	-0.172846	-0.418394	-0.437258	8	1.22036	1.13706	1.13404	1.0829
chr1:46000000-46500000	chr1	-0.125417	-1.04711	-0.033406	7	1.26513	1.25531	1.25167	1.15304
chr1:46500000-47000000	chr1	-0.000238	-0.466386	-0.142034	11	1.28296	1.25132	1.26373	1.28202
chr1:47000000-47500000	chr1	0.081701	0.835076	-0.025971	10	0.424063	0.374803	0.439142	0.342272
chr1:47500000-48000000	chr1	0.002197	0.698429	-0.026186	8	0.376283	0.314494	0.413593	0.499499
chr1:48000000-48500000	chr1	0.099186	1.41826	0.083441	1	-0.335706	-0.287048	-0.36363	-0.46337
chr1:48500000-49000000	chr1	0.236835	1.2756	-0.006029	2	-0.893567	-0.902224	-0.987717	-0.97964
chr1:49000000-49500000	chr1	0.428766	1.42589	-0.018485	1	-1.03384	-1.03978	-1.06414	-1.12707
chr1:49500000-50000000	chr1	0.23016	1.24678	0.357491	0	-1.22707	-1.22463	-1.25015	-1.12967
chr1:50000000-50500000	chr1	0.512188	0.981807	0.188488	1	-1.24048	-1.26728	-1.24225	-1.2993
chr1:50500000-51000000	chr1	0.222909	1.08664	0.098308	2	-1.06448	-0.931945	-0.944785	-0.887334
chr1:51000000-51500000	chr1	-0.111785	0.106834	-0.020376	2	-0.0400671	0.0234054	0.192062	0.0724852
chr1:51500000-52000000	chr1	-0.12116	-0.397601	-0.156396	4	0.588712	0.567158	0.585692	0.702021
chr1:52000000-52500000	chr1	0.223518	-1.18246	-0.084248	4	1.00672	0.973068	1.01316	1.0209
chr1:52500000-53000000	chr1	0.029993	-1.08047	-0.105504	6	1.01539	0.954841	0.959748	1.05378
chr1:53000000-53500000	chr1	0.090277	-0.926125	-0.207831	8	1.08905	1.14336	1.14598	1.09513
chr1:53500000-54000000	chr1	-0.020835	-0.690309	-0.032157	7	0.870001	0.937713	0.926545	0.878126
chr1:54000000-54500000	chr1	0.070614	-0.955356	-0.155018	7	0.992015	0.983087	0.939833	0.920911
chr1:54500000-55000000	chr1	-0.041089	-0.479063	-0.141514	6	0.751486	0.835318	0.775509	0.770689
chr1:55000000-55500000	chr1	0.002486	-0.552886	-0.385181	10	0.665854	0.749262	0.507085	0.495222
chr1:55500000-56000000	chr1	0.038191	-0.421784	-0.333286	2	-0.248163	-0.211716	-0.206377	-0.257363
chr1:56000000-56500000	chr1	0.328503	-0.189765	-0.051424	0	-0.923337	-0.925397	-0.961554	-0.731374
chr1:56500000-57000000	chr1	-0.09886	0.149055	-0.164542	0	-0.488514	-0.487523	-0.364351	-0.4261
chr1:57000000-57500000	chr1	0.289514	-0.164644	0.164748	5	-0.865625	-0.911393	-0.892464	-0.960729
chr1:57500000-58000000	chr1	0.425188	0.541969	0.029293	1	-0.895498	-1.05051	-0.966496	-1.00735
