anchor	anchor_rna_contrast	balance_baseline_lmnb1	balance_baseline_log2_mean_cpm	balance_log10_transcript_span	balance_log1p_tss_count_1mb	chromosome	control_mean_rna_contrast	controls	matched_difference	maximum_squared_distance	status	tss
AAK1	0.12858467806853646	-0.26119953587844447	0.04245445861012642	0.14269193105034317	0.12680820495057907	chr2	-0.05072146442079539	UBR3;STRN;ALS2;TLK1;BMPR2	0.17930614248933185	0.49829981529753764	matched	69643738
ABCA12	0.3154476230812673	-0.08035251952196865	-0.2987390310986384	0.10593727139325115	-0.0211649656041466	chr2	0.16741809567459268	CCDC148;FBXO36;TOGARAM2;MAP2;ZRANB3	0.1480295274066746	0.8780849290651878	matched	215138625
ABCB10	-0.3460280373579119	-0.1557126450585008	-0.03220846240680318	-0.028025105876290146	-0.03461483233231211	chr1	-0.20460079203989262	TRMT1L;UCHL5;TRAF5;RO60;B3GALNT2	-0.14142724531801926	0.2537638786515587	matched	229558706
ABCB11	0.09249392305263493	-0.11634500760069244	-0.18019809132599818	0.105999992244734	0.05871333661524636	chr2	-0.098131034188428	ANKAR;ANKMY1;FBXO36;MYO7B;TSGA10	0.19062495724106293	0.6623365755044424	matched	169031323
ABCD3	-0.24284943444160145	-0.07625596303436244	0.051687697358238194	0.13316966105886097	-0.1922090938703691	chr1	-0.17191088579888145	EPRS1;USP48;TP53BP2;EGLN1;PUM1	-0.07093854864272	0.33472881922391834	matched	94418388
ABCD4	-0.00022413826388767433	-0.08579961170256217	-0.2924594557992393	0.04709975374006464	0.028923222600915954	chr14	0.051691812434707086	RAB2B;RBM23;HAUS4;TOX4;AJUBA	-0.05191595069859476	0.6960799776110859	matched	74302933
ABHD6	-0.17256341070181236	-0.021376602589115667	-0.3609978007996728	-0.1893682846365191	0.11390025493133482	chr3	-0.14044288570048521	SUSD5;CMTM7;CNOT10;TCAIM;IL17RD	-0.032120525001327144	0.3490379102052787	matched	58237791
ABLIM1	-0.2581777803602714	-0.02954955029291595	0.23606096541841382	0.2899524754500551	0.01718347904983053	chr10	-0.2349622807673571	MYOF;PAPSS2;ADD3;SVIL;MICU1	-0.0232154995929143	1.153405717340494	matched	114658274
ABLIM3	0.08275143226824788	-0.19212008003453046	-0.13479356603388223	0.1429775421214633	0.41704199255893	chr5	-0.27461650494410195	RAD50;SH3PXD2B;ZFYVE16;SERINC5;POLK	0.35736793721234983	0.5523307077117028	matched	149141492
ABT1	0.34637128736623435	-1.4700711813474676	-0.12913162174227424	-0.22628601573214913	-0.16431065806039324	chr6	-0.008181441389271904	PSMB8;PSMB9;TBCC;TAP1;TAP2	0.35455272875550625	3.927246228168138	matched	26596952
