tile_id	chrom	start	tss_count	gc	n_frac	cpg_n
chr1:0-500000	chr1	0	0	nan	1	0
chr1:500000-1000000	chr1	500000	0	nan	1	0
chr1:1000000-1500000	chr1	1000000	0	nan	1	0
chr1:1500000-2000000	chr1	1500000	0	nan	1	0
chr1:2000000-2500000	chr1	2000000	0	nan	1	0
chr1:2500000-3000000	chr1	2500000	0	nan	1	0
chr1:3000000-3500000	chr1	3000000	0	0.38633	0.001978	0
chr1:3500000-4000000	chr1	3500000	1	0.387474	0	3
chr1:4000000-4500000	chr1	4000000	2	0.390548	0	2
chr1:4500000-5000000	chr1	4500000	3	0.410256	0	5
chr1:5000000-5500000	chr1	5000000	2	0.400804	0	2
chr1:5500000-6000000	chr1	5500000	2	0.387562	0	1
chr1:6000000-6500000	chr1	6000000	3	0.399466	0	4
chr1:6500000-7000000	chr1	6500000	0	0.39082	0	0
chr1:7000000-7500000	chr1	7000000	1	0.398422	0	2
chr1:7500000-8000000	chr1	7500000	0	0.38529	0	0
chr1:8000000-8500000	chr1	8000000	0	0.38151	0	0
chr1:8500000-9000000	chr1	8500000	0	0.381416	0	0
chr1:9000000-9500000	chr1	9000000	1	0.38685	0	1
chr1:9500000-10000000	chr1	9500000	12	0.412256	0	7
chr1:10000000-10500000	chr1	10000000	4	0.399916	0	3
chr1:10500000-11000000	chr1	10500000	3	0.40056	0	2
chr1:11000000-11500000	chr1	11000000	1	0.388552	0	1
chr1:11500000-12000000	chr1	11500000	0	0.386586	0	0
chr1:12000000-12500000	chr1	12000000	1	0.390078	0	0
chr1:12500000-13000000	chr1	12500000	3	0.420816	0	3
chr1:13000000-13500000	chr1	13000000	2	0.438754	0	2
chr1:13500000-14000000	chr1	13500000	4	0.419836	0	2
chr1:14000000-14500000	chr1	14000000	1	0.406224	0	1
chr1:14500000-15000000	chr1	14500000	2	0.403128	0	2
chr1:15000000-15500000	chr1	15000000	1	0.398798	0	1
chr1:15500000-16000000	chr1	15500000	2	0.40993	0	2
chr1:16000000-16500000	chr1	16000000	3	0.41901	0	2
chr1:16500000-17000000	chr1	16500000	6	0.415316	0	4
chr1:17000000-17500000	chr1	17000000	2	0.392622	0	3
chr1:17500000-18000000	chr1	17500000	3	0.3832	0	0
chr1:18000000-18500000	chr1	18000000	4	0.379674	0	1
chr1:18500000-19000000	chr1	18500000	0	0.382122	0	0
chr1:19000000-19500000	chr1	19000000	3	0.395182	0	4
chr1:19500000-20000000	chr1	19500000	0	0.3849	0	0
chr1:20000000-20500000	chr1	20000000	1	0.391746	0	0
chr1:20500000-21000000	chr1	20500000	10	0.425278	0	4
chr1:21000000-21500000	chr1	21000000	7	0.430658	0	1
chr1:21500000-22000000	chr1	21500000	1	0.384076	0	1
chr1:22000000-22500000	chr1	22000000	0	0.389452	0.066684	0
chr1:22500000-23000000	chr1	22500000	2	0.390878	0	2
chr1:23000000-23500000	chr1	23000000	4	0.400228	0	3
chr1:23500000-24000000	chr1	23500000	3	0.413832	0	2
chr1:24000000-24500000	chr1	24000000	3	0.399544	0	2
chr1:24500000-25000000	chr1	24500000	2	0.398648	0	2
chr1:25000000-25500000	chr1	25000000	1	0.383528	0	0
chr1:25500000-26000000	chr1	25500000	2	0.372757	2e-06	1
chr1:26000000-26500000	chr1	26000000	0	0.37267	0	0
chr1:26500000-27000000	chr1	26500000	1	0.36782	0	0
chr1:27000000-27500000	chr1	27000000	0	0.369018	0	0
chr1:27500000-28000000	chr1	27500000	1	0.361722	0	0
chr1:28000000-28500000	chr1	28000000	0	0.366014	0	0
chr1:28500000-29000000	chr1	28500000	1	0.358122	0	0
chr1:29000000-29500000	chr1	29000000	1	0.360398	0	0
chr1:29500000-30000000	chr1	29500000	0	0.37449	0	0
chr1:30000000-30500000	chr1	30000000	1	0.378802	0	0
chr1:30500000-31000000	chr1	30500000	4	0.404458	0	2
chr1:31000000-31500000	chr1	31000000	5	0.394172	0	0
chr1:31500000-32000000	chr1	31500000	0	0.37613	0	0
chr1:32000000-32500000	chr1	32000000	1	0.375254	0	1
chr1:32500000-33000000	chr1	32500000	2	0.384808	0	0
chr1:33000000-33500000	chr1	33000000	0	0.401712	0	0
chr1:33500000-34000000	chr1	33500000	9	0.431266	0	8
chr1:34000000-34500000	chr1	34000000	7	0.443074	0	6
chr1:34500000-35000000	chr1	34500000	7	0.458604	0	7
chr1:35000000-35500000	chr1	35000000	0	0.431528	0	0
chr1:35500000-36000000	chr1	35500000	0	0.446324	0	0
chr1:36000000-36500000	chr1	36000000	11	0.47192	0	8
chr1:36500000-37000000	chr1	36500000	10	0.471184	0	9
chr1:37000000-37500000	chr1	37000000	6	0.456984	0	3
chr1:37500000-38000000	chr1	37500000	10	0.44085	0	7
chr1:38000000-38500000	chr1	38000000	2	0.434202	0	2
chr1:38500000-39000000	chr1	38500000	5	0.445192	0	4
chr1:39000000-39500000	chr1	39000000	4	0.46091	0	3
chr1:39500000-40000000	chr1	39500000	9	0.454	0	4
chr1:40000000-40500000	chr1	40000000	6	0.437468	0	2
chr1:40500000-41000000	chr1	40500000	6	0.426368	0	2
chr1:41000000-41500000	chr1	41000000	1	0.400418	0	0
chr1:41500000-42000000	chr1	41500000	1	0.380202	0	0
chr1:42000000-42500000	chr1	42000000	0	0.407508	0	1
chr1:42500000-43000000	chr1	42500000	8	0.42987	0	7
chr1:43000000-43500000	chr1	43000000	4	0.435614	0	4
chr1:43500000-44000000	chr1	43500000	3	0.414234	0	3
chr1:44000000-44500000	chr1	44000000	7	0.398276	0	2
chr1:44500000-45000000	chr1	44500000	2	0.379786	0	1
chr1:45000000-45500000	chr1	45000000	1	0.374956	0	0
chr1:45500000-46000000	chr1	45500000	3	0.394276	0	1
chr1:46000000-46500000	chr1	46000000	3	0.3997	0	1
chr1:46500000-47000000	chr1	46500000	1	0.396674	0	1
chr1:47000000-47500000	chr1	47000000	1	0.381606	0	0
chr1:47500000-48000000	chr1	47500000	0	0.371714	0	0
chr1:48000000-48500000	chr1	48000000	0	0.373134	0	0
chr1:48500000-49000000	chr1	48500000	0	0.366902	0	0
chr1:49000000-49500000	chr1	49000000	1	0.361294	0	0
chr1:49500000-50000000	chr1	49500000	0	0.362996	0	0
chr1:50000000-50500000	chr1	50000000	0	0.365588	0	0
chr1:50500000-51000000	chr1	50500000	1	0.367014	0	1
chr1:51000000-51500000	chr1	51000000	3	0.396764	0	1
chr1:51500000-52000000	chr1	51500000	3	0.4233	0	1
