tile_id	chrom	start	end	siScr_mCh	siLMNA_mCh	dlam_mCh	siScr_DNK	siLMNA_DNK	dlam_DNK	cov_min	tss_count
chr1:0-500000	chr1	0	500000	nan	nan	nan	nan	nan	nan	0.0000	2
chr1:500000-1000000	chr1	500000	1000000	nan	nan	nan	nan	nan	nan	0.0000	9
chr1:1000000-1500000	chr1	1000000	1500000	nan	nan	nan	nan	nan	nan	0.0000	27
chr1:1500000-2000000	chr1	1500000	2000000	nan	nan	nan	nan	nan	nan	0.0000	14
chr1:2000000-2500000	chr1	2000000	2500000	nan	nan	nan	nan	nan	nan	0.0000	9
chr1:2500000-3000000	chr1	2500000	3000000	nan	nan	nan	nan	nan	nan	0.0800	5
chr1:3000000-3500000	chr1	3000000	3500000	0.677335	0.361003	-0.316333	0.293754	0.436467	0.142713	1.0000	1
chr1:3500000-4000000	chr1	3500000	4000000	0.621178	0.330302	-0.290875	0.198425	0.282616	0.084191	0.7000	10
chr1:4000000-4500000	chr1	4000000	4500000	1.072471	1.177573	0.105102	0.869282	0.908582	0.039300	1.0000	0
chr1:4500000-5000000	chr1	4500000	5000000	1.179645	1.341018	0.161373	0.719359	0.913679	0.194320	1.0000	1
chr1:5000000-5500000	chr1	5000000	5500000	1.199139	1.442361	0.243221	0.864624	1.217629	0.353005	1.0000	0
chr1:5500000-6000000	chr1	5500000	6000000	1.154254	1.279399	0.125145	0.911923	1.026562	0.114638	1.0000	0
chr1:6000000-6500000	chr1	6000000	6500000	-0.012379	-0.243239	-0.230860	-0.250066	-0.200835	0.049231	1.0000	11
chr1:6500000-7000000	chr1	6500000	7000000	-0.621001	-0.718537	-0.097535	-0.887263	-0.770909	0.116354	1.0000	10
chr1:7000000-7500000	chr1	7000000	7500000	-0.338918	-0.454431	-0.115513	-0.593120	-0.760288	-0.167168	1.0000	0
chr1:7500000-8000000	chr1	7500000	8000000	-0.537392	-0.690735	-0.153343	-0.962615	-0.868967	0.093648	1.0000	3
chr1:8000000-8500000	chr1	8000000	8500000	-1.072996	-0.989958	0.083038	-0.883802	-1.040655	-0.156853	1.0000	4
