tile_id	chrom	start	end	siScr_mCh	siLMNA_mCh	dlam_mCh	siScr_DNK	siLMNA_DNK	dlam_DNK	cov_min	tss_count
chr1:0-500000	chr1	0	500000	nan	nan	nan	nan	nan	nan	0.0000	2
chr1:500000-1000000	chr1	500000	1000000	nan	nan	nan	nan	nan	nan	0.0000	6
chr1:1000000-1500000	chr1	1000000	1500000	nan	nan	nan	nan	nan	nan	0.0000	28
chr1:1500000-2000000	chr1	1500000	2000000	nan	nan	nan	nan	nan	nan	0.0000	13
chr1:2000000-2500000	chr1	2000000	2500000	nan	nan	nan	nan	nan	nan	0.0000	9
chr1:2500000-3000000	chr1	2500000	3000000	nan	nan	nan	nan	nan	nan	0.0000	6
chr1:3000000-3500000	chr1	3000000	3500000	0.642596	0.359411	-0.283185	0.298738	0.460444	0.161706	0.9200	3
chr1:3500000-4000000	chr1	3500000	4000000	0.765649	0.434467	-0.331182	0.284993	0.341414	0.0564213	1.0000	10
chr1:4000000-4500000	chr1	4000000	4500000	1.05925	1.22149	0.162243	0.855956	0.953286	0.0973291	1.0000	0
chr1:4500000-5000000	chr1	4500000	5000000	1.16085	1.32998	0.169131	0.735945	0.926495	0.19055	1.0000	1
chr1:5000000-5500000	chr1	5000000	5500000	1.22285	1.43807	0.215215	0.871343	1.19478	0.323434	1.0000	0
chr1:5500000-6000000	chr1	5500000	6000000	1.03878	1.18807	0.149292	0.877512	0.970967	0.0934553	1.0000	1
chr1:6000000-6500000	chr1	6000000	6500000	-0.0959762	-0.375113	-0.279137	-0.362766	-0.31359	0.0491759	1.0000	12
chr1:6500000-7000000	chr1	6500000	7000000	-0.595566	-0.710214	-0.114648	-0.895534	-0.822334	0.0731998	1.0000	8
chr1:7000000-7500000	chr1	7000000	7500000	-0.311613	-0.432359	-0.120746	-0.596694	-0.740588	-0.143894	1.0000	0
chr1:7500000-8000000	chr1	7500000	8000000	-0.760146	-0.790243	-0.0300972	-1.04287	-0.942793	0.100078	1.0000	5
chr1:8000000-8500000	chr1	8000000	8500000	-1.04336	-0.993866	0.0494923	-0.863408	-1.02113	-0.157725	1.0000	2
chr1:8500000-9000000	chr1	8500000	9000000	-1.40931	-1.24677	0.16254	-1.18423	-1.08947	0.0947633	1.0000	3
chr1:9000000-9500000	chr1	9000000	9500000	-0.689301	-0.887655	-0.198354	-1.09445	-1.0137	0.0807523	1.0000	5
chr1:9500000-10000000	chr1	9500000	10000000	-0.845986	-0.988149	-0.142162	-1.31589	-1.10618	0.209708	1.0000	8
chr1:10000000-10500000	chr1	10000000	10500000	-1.2092	-1.09421	0.114989	-1.35747	-1.34567	0.0118021	1.0000	7
chr1:10500000-11000000	chr1	10500000	11000000	-0.641459	-0.813138	-0.171679	-0.948288	-0.823499	0.124789	1.0000	2
chr1:11000000-11500000	chr1	11000000	11500000	-0.179119	-0.55488	-0.375761	-0.545121	-0.783592	-0.238471	1.0000	8
chr1:11500000-12000000	chr1	11500000	12000000	-0.406972	-0.719887	-0.312915	-0.723865	-0.768904	-0.0450391	1.0000	15
chr1:12000000-12500000	chr1	12000000	12500000	-0.475068	-0.420634	0.0544348	-0.403143	-0.642189	-0.239046	1.0000	4
chr1:12500000-13000000	chr1	12500000	13000000	0.557833	0.623763	0.0659306	0.394897	0.400273	0.00537602	0.9000	13
chr1:13000000-13500000	chr1	13000000	13500000	1.03336	1.13254	0.0991824	0.797487	0.94998	0.152493	0.9800	17
chr1:13500000-14000000	chr1	13500000	14000000	0.938749	0.837102	-0.101648	0.781993	0.628463	-0.153531	1.0000	3
chr1:14000000-14500000	chr1	14000000	14500000	0.824798	0.991428	0.16663	0.666512	0.706128	0.0396161	1.0000	0
chr1:14500000-15000000	chr1	14500000	15000000	0.579451	0.225582	-0.353869	0.339662	0.0659482	-0.273714	1.0000	1
chr1:15000000-15500000	chr1	15000000	15500000	-0.213628	-0.270568	-0.05694	-0.317819	-0.444867	-0.127048	1.0000	6
chr1:15500000-16000000	chr1	15500000	16000000	-1.02445	-1.05786	-0.0334069	-1.19628	-1.05014	0.146143	1.0000	12
chr1:16000000-16500000	chr1	16000000	16500000	-0.941549	-0.9251	0.0164496	-1.08632	-1.01227	0.0740518	1.0000	12
chr1:16500000-17000000	chr1	16500000	17000000	-0.64714	-0.797159	-0.150019	-1.05177	-1.23281	-0.181039	0.8800	8
chr1:17000000-17500000	chr1	17000000	17500000	-0.296289	-0.737123	-0.440835	-0.777469	-0.824217	-0.0467481	1.0000	8
chr1:17500000-18000000	chr1	17500000	18000000	0.524844	0.32751	-0.197334	0.0507257	-0.0987049	-0.149431	1.0000	2
chr1:18000000-18500000	chr1	18000000	18500000	0.729354	0.74951	0.0201564	0.491618	0.417691	-0.0739272	1.0000	2
chr1:18500000-19000000	chr1	18500000	19000000	0.27539	0.119971	-0.15542	-0.0664701	-0.0544423	0.0120278	1.0000	4
chr1:19000000-19500000	chr1	19000000	19500000	-0.675444	-0.735538	-0.0600938	-0.884128	-1.09349	-0.209363	1.0000	7
chr1:19500000-20000000	chr1	19500000	20000000	-0.324472	-0.63354	-0.309068	-0.918764	-1.06257	-0.143805	1.0000	8
chr1:20000000-20500000	chr1	20000000	20500000	-0.0471828	-0.193052	-0.145869	-0.273812	-0.536537	-0.262725	1.0000	7
chr1:20500000-21000000	chr1	20500000	21000000	-1.06943	-0.95733	0.112104	-1.39446	-1.1776	0.216861	1.0000	8
chr1:21000000-21500000	chr1	21000000	21500000	-1.00073	-1.16992	-0.169188	-1.29003	-1.2291	0.0609344	1.0000	3
chr1:21500000-22000000	chr1	21500000	22000000	-0.928393	-0.902748	0.0256443	-1.08297	-1.01988	0.0630878	1.0000	6
chr1:22000000-22500000	chr1	22000000	22500000	-0.882665	-0.787156	0.0955092	-1.17638	-1.18512	-0.00873751	1.0000	4
chr1:22500000-23000000	chr1	22500000	23000000	-0.848562	-0.849316	-0.000754839	-0.923286	-1.05097	-0.127685	1.0000	6
chr1:23000000-23500000	chr1	23000000	23500000	-1.33032	-1.22111	0.109216	-1.11548	-1.15687	-0.0413868	1.0000	8
chr1:23500000-24000000	chr1	23500000	24000000	-1.15633	-1.07167	0.0846527	-1.11838	-1.26313	-0.144743	1.0000	12
chr1:24000000-24500000	chr1	24000000	24500000	-0.990325	-0.893323	0.0970021	-1.21885	-1.12889	0.0899532	1.0000	6
chr1:24500000-25000000	chr1	24500000	25000000	-1.24297	-1.2293	0.0136775	-1.26783	-1.31016	-0.042332	1.0000	5
chr1:25000000-25500000	chr1	25000000	25500000	-1.04779	-1.08692	-0.0391329	-1.23886	-1.31527	-0.0764112	1.0000	6
chr1:25500000-26000000	chr1	25500000	26000000	-0.94522	-0.950335	-0.00511445	-1.29241	-1.08795	0.204461	1.0000	8
chr1:26000000-26500000	chr1	26000000	26500000	-0.977814	-1.05875	-0.0809356	-1.32204	-1.30104	0.0209995	1.0000	19
