tile_id	chrom	start	siScr_mCh	dlam_mCh	siScr_DNK	dlam_DNK	tss_count	pc1_cm_base	dpc1_cm_r225x	pc1_lcl_base	dpc1_lcl_ko	lfc_ipsc_silmna	n_genes_ipsc	lfc_cm_h222p	n_genes_cm	cpg_n	gap_frac	giemsa	arm_pos	gc
chr1:0-500000	chr1	0	nan	nan	nan	nan	2	nan	nan	nan	nan	nan	0	nan	0	6	0.22	0	0.997946	0.430986
chr1:500000-1000000	chr1	500000	nan	nan	nan	nan	6	1.03618	0.117255	-0.104986	-0.165178	0.0448827	4	-0.15842	3	21	0.1	0	0.993837	0.476616
chr1:1000000-1500000	chr1	1000000	nan	nan	nan	nan	28	1.44676	-0.113821	1.23921	-0.157614	0.121766	24	0.108768	22	80	0	0	0.989729	0.609577
chr1:1500000-2000000	chr1	1500000	nan	nan	nan	nan	13	1.41046	-0.18272	1.35558	-0.066445	0.0212868	13	0.108869	12	45	0	0	0.98562	0.541805
chr1:2000000-2500000	chr1	2000000	nan	nan	nan	nan	9	0.80768	0.0320619	1.13398	-0.0776629	0.0613025	8	0.0971574	7	56	0	0	0.981512	0.580742
chr1:2500000-3000000	chr1	2500000	nan	nan	nan	nan	6	-0.728143	0.386682	0.699709	-0.0154588	-0.15441	5	0.0797952	3	29	0.087018	0.25	0.977403	0.585901
chr1:3000000-3500000	chr1	3000000	0.642596	-0.283185	0.298738	0.161706	3	-0.109989	0.198873	0.535381	0.0923726	-0.19557	2	-0.0607213	2	39	0	0.25	0.973295	0.571802
chr1:3500000-4000000	chr1	3500000	0.765649	-0.331182	0.284993	0.0564213	10	-0.0631238	0.252254	1.12124	-0.0355453	-0.107818	9	0.0638436	8	30	0	0.25	0.969187	0.556851
chr1:4000000-4500000	chr1	4000000	1.05925	0.162243	0.855956	0.0973291	0	-1.26622	0.113609	0.234033	0.103373	nan	0	nan	0	2	0	0.25	0.965078	0.480102
chr1:4500000-5000000	chr1	4500000	1.16085	0.169131	0.735945	0.19055	1	-1.27249	0.130156	0.191445	0.0951272	nan	1	nan	0	4	0	0.25	0.96097	0.477818
