tile_id	chrom	dlam_mCh	siScr_mCh	dlam_DNK	tss_count	pc1_GSM3602088	pc1_GSM3602089	pc1_GSM3602090	pc1_GSM3602091	pc1_GSM3602092	pc1_GSM3602093
chr1:3000000-3500000	chr1	-0.283185	0.642596	0.161706	3	-0.118214	-0.0548431	-0.247694	-0.0192072	0.138167	0.0396003
chr1:3500000-4000000	chr1	-0.331182	0.765649	0.0564213	10	-0.122948	-0.0795455	0.0279847	-0.0779858	0.139163	0.239097
chr1:4000000-4500000	chr1	0.162243	1.05925	0.0973291	0	-1.26804	-1.3613	-1.21164	-1.22391	-1.14344	-1.16179
chr1:4500000-5000000	chr1	0.169131	1.16085	0.19055	1	-1.17388	-1.49464	-1.09653	-1.3249	-1.17992	-1.10475
chr1:5000000-5500000	chr1	0.215215	1.22285	0.323434	0	-1.42398	-1.49925	-1.31658	-1.3603	-1.23793	-1.22599
chr1:5500000-6000000	chr1	0.149292	1.03878	0.0934553	1	-1.0678	-0.848602	-1.01007	-0.822524	-0.741857	-0.702621
chr1:6000000-6500000	chr1	-0.279137	-0.0959762	0.0491759	12	0.75469	0.999845	0.73015	0.918112	0.728694	0.833982
chr1:6500000-7000000	chr1	-0.114648	-0.595566	0.0731998	8	0.929592	1.19029	0.914218	1.16582	1.11663	1.03889
chr1:7000000-7500000	chr1	-0.120746	-0.311613	-0.143894	0	0.99008	1.08716	0.627673	0.952402	0.801053	0.851597
chr1:7500000-8000000	chr1	-0.0300972	-0.760146	0.100078	5	1.03229	1.05403	1.09413	0.875957	1.04873	0.903798
chr1:8000000-8500000	chr1	0.0494923	-1.04336	-0.157725	2	1.04099	1.064	0.852197	1.04968	1.02072	0.949643
chr1:8500000-9000000	chr1	0.16254	-1.40931	0.0947633	3	1.14266	1.02604	1.12871	0.921338	1.04343	1.04926
chr1:9000000-9500000	chr1	-0.198354	-0.689301	0.0807523	5	1.39479	1.39726	1.1756	1.09271	1.27152	1.28369
